file_name,original_path,inference_path,ground_truth,original_transcript,inference_transcript,original_cer,inference_cer,dcer,utmos,pesq,stoi
common_voice_zh-TW_30162459,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_30162459.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_30162459_inference.wav,高雄市公车五甲干线,高雄市公車五甲幹線,高雄市公車魚甲幹線,0.3333333333333333,0.4444444444444444,0.1111111111111111,2.7700119018554688,3.2720694541931152,0.9496497739440208
common_voice_zh-TW_24477793,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477793.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_24477793_inference.wav,肉！很多肉！,"肉,很多肉。",肉很多肉,0.0,0.0,0.0,1.974439263343811,3.248570680618286,0.9634711147151721
common_voice_zh-TW_24478020,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24478020.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_24478020_inference.wav,大家爱转传,大家愛轉傳,大家爱转船,0.6,0.2,-0.39999999999999997,2.6708900928497314,3.3931331634521484,0.9727852023837151
common_voice_zh-TW_25342071,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_25342071.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_25342071_inference.wav,结果很平和,结果很平和,結果很平和,0.0,0.2,0.2,2.515490770339966,3.033513307571411,0.5856292772834012
common_voice_zh-TW_20748925,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20748925.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_20748925_inference.wav,英文数字请尽量转为中文,英文数字请尽量转为中文,英文数字请尽量转为中文,0.0,0.0,0.0,2.64284610748291,3.0996997356414795,0.9254419840622854
common_voice_zh-TW_21308865,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21308865.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_21308865_inference.wav,我们需要更多的废文和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,0.14285714285714285,0.14285714285714285,0.0,3.4306576251983643,3.5988450050354004,0.9599510030890975
common_voice_zh-TW_22787705,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22787705.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_22787705_inference.wav,目前先将满意度的部分,目前先将满意度的部分,目前先将满一度的部分,0.0,0.1,0.1,2.507473945617676,2.5416324138641357,0.748131796123718
common_voice_zh-TW_19601564,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19601564.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_19601564_inference.wav,维基百科现在放的人类身高,为几百颗现在放的人类升高,为几百颗现在放的人类升高,0.3333333333333333,0.3333333333333333,0.0,3.064030408859253,2.7605953216552734,0.9556886693659504
common_voice_zh-TW_22288212,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22288212.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_22288212_inference.wav,让女人的家人满意,让女人的家人满意,让女人的家人满意,0.0,0.0,0.0,2.6886067390441895,3.502711296081543,0.9677907974264376
common_voice_zh-TW_22771206,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22771206.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_22771206_inference.wav,要改的事太多了，那就改天吧,"要改的事太多了,那就改天吧。",要改的事太多了那就改天吧,0.0,0.0,0.0,3.48844575881958,3.469311475753784,0.9670577112304439
common_voice_zh-TW_31065246,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_31065246.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_31065246_inference.wav,十多年前台北车站改变结构,十多年前台北车站改变结构,十多年前台北车站改变结构,0.0,0.0,0.0,2.2715930938720703,3.1985561847686768,0.9404908231190298
common_voice_zh-TW_20860809,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20860809.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_20860809_inference.wav,就补缴空屋税,就补叫空污税,就不叫空污税,0.3333333333333333,0.5,0.16666666666666669,2.048335552215576,3.474682092666626,0.9408576976005983
common_voice_zh-TW_26657819,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26657819.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_26657819_inference.wav,超英赶美,超音感美,超音感美,0.5,0.5,0.0,1.6857686042785645,3.4275245666503906,0.94291206242671
common_voice_zh-TW_24677150,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24677150.mp3,/homes/jiasin/MimiCodec/mimi_recons_wav_commonvoice/common_voice_zh-TW_24677150_inference.wav,有三十五种语言,有35种语言,有35种语言,0.42857142857142855,0.42857142857142855,0.0,2.117145538330078,2.0815858840942383,0.9246177438647226
