file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
61-70968-0013,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified."," Before them fled the stroller and his three sons, capless and terrified.",before them fled the stroller and his three sons capless and terrified,before them fled the stroller and his three sons capless and terrified,0.0,0.0,0.0,4.17853307723999,1.132798671722412,0.8108492295690656,0.5954297780990601
61-70968-0040,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin."," ""'Write willingly, for between us we have won the battle,' answered Robin,",write willingly for between us we have won the battle answered robin,write willingly for between us we have won the battle answered robin,0.08333333333333333,0.08333333333333333,0.0,4.272940635681152,1.1692770719528198,0.8134881283041552,0.512445867061615
61-70968-0015,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller."," Nay, we were free with their request most politely, most noble, said the little stroller.",nay we refused their request most politely most noble said the little stroller,nay we were free with their request most politely most noble said the little stroller,0.0,0.23076923076923078,0.23076923076923078,3.7827579975128174,1.0951545238494873,0.779152831182614,0.4156562387943268
61-70968-0028,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet."," The head and chief of the riot, the Nottingham Apprentice, with clenched fists, threatened Montfichet.",the head and chief of the riot the nottingham apprentice with clenched fists threatened montfichet,the head and chief of the riot the nottingham apprentice with clenched fists threatened montfichet,0.0,0.0,0.0,4.319310188293457,1.2861384153366089,0.8476947843997916,0.6472141742706299
61-70968-0054,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet, Mistress Fittooth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that Robin alone had the care of Montvichet.,mistress fitzuth had been carried off by the sheriffs daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,mistress fittooth had been carried off by the sheriffs daughter and her maids as soon as they had entered the house so that robin alone had the care of montvichet,0.03333333333333333,0.06666666666666667,0.03333333333333333,3.8979053497314453,1.5053918361663818,0.8408557607494562,0.5563692450523376
61-70968-0011,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent."," He gave way to the others very readily, and retreated unperceived by the squire and mistress fitsooth to the rear of the tent.",he gave way to the others very readily and retreated unperceived by the squire and mistress fitzuth to the rear of the tent,he gave way to the others very readily and retreated unperceived by the squire and mistress fitsooth to the rear of the tent,0.043478260869565216,0.043478260869565216,0.0,4.236944198608398,1.2796285152435303,0.8466587521288989,0.6024922132492065
61-70968-0046,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded."," Nottingham Castle was reached, and admittance was demanded.",nottingham castle was reached and admittance was demanded,nottingham castle was reached and admittance was demanded,0.0,0.0,0.0,4.289167404174805,1.386004090309143,0.8606004295173882,0.47533977031707764
61-70968-0050,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm."," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",he made an effort to hide his condition from them all and robin felt his fingers tighten upon his arm,he made an effort to hide his condition from them all and robin felt his fingers tighten upon his arm,0.0,0.0,0.0,4.317440509796143,1.5197012424468994,0.8398002068483928,0.4342256486415863
61-70968-0014,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt."," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blinked twice on the silver whistle which hung on his belt.",what is the tumult and rioting cried out the squire authoritatively and he blew twice on the silver whistle which hung at his belt,what is the tumult and rioting cried out the squire authoritatively and he blinked twice on the silver whistle which hung on his belt,0.041666666666666664,0.125,0.08333333333333334,3.736900806427002,1.3184536695480347,0.8167844531866904,0.5904643535614014
61-70968-0019,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd."," ìIt is enough!î said George Gamewell sharply, as he turned upon the crowd.",it is enough said george gamewell sharply as he turned upon the crowd,ìit is enoughî said george gamewell sharply as he turned upon the crowd,0.07692307692307693,0.23076923076923078,0.15384615384615385,3.966041088104248,1.26139497756958,0.8393377410559582,0.5863040089607239
