file_name,original_path,inference_path,ground_truth,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi
61-70968-0013,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified."," Before them fled the stroller and his three sons, capless and terrified.",0.0,0.0,0.0,3.938851833343506,1.3695061206817627,0.7711358450913463
61-70968-0040,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin."," ""'Write willingly, for between us we have won the battle,' answered Robin.",0.3333333333333333,0.3333333333333333,0.0,4.067414283752441,1.3494738340377808,0.6787313194654679
61-70968-0015,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller."," Nay, we refused their request most politely, most nuble, said the little stroller.",0.0,0.07692307692307693,0.07692307692307693,3.9908323287963867,1.3414384126663208,0.7117756967771478
61-70968-0028,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet.", The head and chief of the riot that Ottingham apprenticed with clenched fists threatened Montfichet.,0.0,0.26666666666666666,0.26666666666666666,4.047882080078125,1.4990848302841187,0.744537949247194
61-70968-0054,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet, mistress fitzuth would be carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of mon,0.06666666666666667,0.5,0.43333333333333335,3.9360313415527344,1.520634412765503,0.7104024739956155
61-70968-0011,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent."," He gave way to the others very readily, and retreated, unperceived by the squire and Mistress Fitzhuth, to the rear of the Tedd.",0.08695652173913043,0.17391304347826086,0.08695652173913043,3.940817356109619,1.4620256423950195,0.7075069799955264
61-70968-0046,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded."," Nottingham Castle was reached, and admittance was demanded.",0.0,0.0,0.0,4.099766254425049,1.5774281024932861,0.7362953971525604
61-70968-0050,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm."," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",0.0,0.0,0.0,3.9374868869781494,1.410520076751709,0.7071979063229865
61-70968-0014,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt."," ""'What is that tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hummed his belt.",0.125,0.4166666666666667,0.2916666666666667,3.6780543327331543,1.378196358680725,0.7189786592728664
61-70968-0019,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/librispeech_recon/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd."," It is enough, said George Gamewell sharply, as he turned upon the crowd.",0.15384615384615385,0.15384615384615385,0.0,3.7445123195648193,1.41233229637146,0.7458695869335844
