file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
61-70968-0013,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified."," Before them fled the stroller and his three sons, capless and terrified.",before them fled the stroller and his three sons capless and terrified,before them fled the stroller and his three sons capless and terrified,0.0,0.0,0.0,3.730409860610962,1.2369459867477417,0.824976574871184,0.7319785952568054
61-70968-0040,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin."," ""'Right willingly, for between us we have won the battle,' answered Robin.",write willingly for between us we have won the battle answered robin,right willingly for between us we have won the battle answered robin,0.08333333333333333,0.0,-0.08333333333333333,4.031156539916992,1.168727993965149,0.8019461772117129,0.7032718062400818
61-70968-0015,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller."," Nay, we refused their request most politely, most noble, said the little stroller.",nay we refused their request most politely most noble said the little stroller,nay we refused their request most politely most noble said the little stroller,0.0,0.0,0.0,3.938967227935791,1.1570144891738892,0.8006090442136026,0.701668381690979
61-70968-0028,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet.", The head and chief of the riot the Nottingham apprenticed with clenched fists threatened Montfichet.,the head and chief of the riot the nottingham apprentice with clenched fists threatened montfichet,the head and chief of the riot the nottingham apprenticed with clenched fists threatened montfichet,0.0,0.06666666666666667,0.06666666666666667,3.969895839691162,1.2885587215423584,0.8559197677290964,0.7012537121772766
61-70968-0054,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet, mistress fitzruth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montvich,mistress fitzuth had been carried off by the sheriffs daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,mistress fitzruth had been carried off by the sheriffs daughter and her maids as soon as they had entered the house so that robin alone had the care of montvich,0.03333333333333333,0.06666666666666667,0.03333333333333333,3.9769656658172607,1.3254965543746948,0.8278955738434676,0.7637009024620056
61-70968-0011,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent."," He gave way to the others very readily, and retreated unperceived by the squire and Mistress Fitzhuth to the rear of the tent.",he gave way to the others very readily and retreated unperceived by the squire and mistress fitzuth to the rear of the tent,he gave way to the others very readily and retreated unperceived by the squire and mistress fitzhuth to the rear of the tent,0.043478260869565216,0.043478260869565216,0.0,3.8178133964538574,1.3318976163864136,0.8324178826010145,0.7353525757789612
61-70968-0046,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded."," Nottingham Castle was reached, and admittance was demanded.",nottingham castle was reached and admittance was demanded,nottingham castle was reached and admittance was demanded,0.0,0.0,0.0,4.170126914978027,1.2366217374801636,0.8491427943745222,0.7493726015090942
61-70968-0050,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm."," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",he made an effort to hide his condition from them all and robin felt his fingers tighten upon his arm,he made an effort to hide his condition from them all and robin felt his fingers tighten upon his arm,0.0,0.0,0.0,4.173215866088867,1.3577351570129395,0.8216249157474319,0.7354830503463745
61-70968-0014,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt."," ""'What is that tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his pelt.",what is the tumult and rioting cried out the squire authoritatively and he blew twice on the silver whistle which hung at his belt,what is that tumult and rioting cried out the squire authoritatively and he blew twice on the silver whistle which hung at his pelt,0.041666666666666664,0.125,0.08333333333333334,3.404036045074463,1.1730889081954956,0.8076573140654579,0.5837435126304626
61-70968-0019,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd."," It is enough, said George Gamewell sharply, as he turned upon the crowd.",it is enough said george gamewell sharply as he turned upon the crowd,it is enough said george gamewell sharply as he turned upon the crowd,0.07692307692307693,0.07692307692307693,0.0,3.73052978515625,1.3207862377166748,0.8332090982066068,0.7196506261825562
61-70968-0033,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0033.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0033_inference.wav,THRUSTING OPEN THE PROPER ENTRANCE OF THE TENT ROBIN SUDDENLY RUSHED FORTH WITH HIS BURDEN WITH A GREAT SHOUT," Thrusting open the proper entrance of the tent, Robin suddenly rushed forth with his burden with a great shout."," Thrusting open the proper entrance of the tent, Robin suddenly rushed forth with his burden with a great shout.",thrusting open the proper entrance of the tent robin suddenly rushed forth with his burden with a great shout,thrusting open the proper entrance of the tent robin suddenly rushed forth with his burden with a great shout,0.0,0.0,0.0,4.189587116241455,1.356871247291565,0.8798658634872237,0.7059971690177917
61-70968-0048,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0048.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_65k/librispeech/61-70968-0048_inference.wav,AND HENRY MIGHT RETURN TO ENGLAND AT ANY MOMENT, and Henry might return to England at any moment., and Henry might return to England at any moment.,and henry might return to england at any moment,and henry might return to england at any moment,0.0,0.0,0.0,3.8548152446746826,1.246554970741272,0.7977583784908115,0.4956373870372772
