file_name,segment_length,num_segments,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,original_cer,inference_cer,dcer
common_voice_zh-TW_17382475,0.5s,8,,,我总想著前面也许会有更好的,,,,,,,,,,
common_voice_zh-TW_17382798,0.5s,7,,,听到这消息,,,,,,,,,,
common_voice_zh-TW_17382801,0.5s,7,,,她心里隐隐觉得不妙,,,,,,,,,,
common_voice_zh-TW_17382870,0.5s,10,,,证明文件应经审查并妥善保存,,,,,,,,,,
common_voice_zh-TW_17382928,0.5s,7,,,她开始想搬回乡下住,,,,,,,,,,
common_voice_zh-TW_17383004,0.5s,10,,,赌场讨债更加凶狠、更加恶劣,,,,,,,,,,
common_voice_zh-TW_17383201,0.5s,8,,,经过接近一年的治疗,,,,,,,,,,
common_voice_zh-TW_17388304,0.5s,7,,,你本来就是他的猎物,,,,,,,,,,
common_voice_zh-TW_17388528,0.5s,7,,,来回一千两百日币,,,,,,,,,,
common_voice_zh-TW_17388792,0.5s,9,,,一路上他不再出声,,,,,,,,,,
common_voice_zh-TW_17389889,0.5s,9,,,咖啡好喝，点心也很好吃,,,,,,,,,,
common_voice_zh-TW_17389904,0.5s,7,,,四个小孩外出买东西,,,,,,,,,,
common_voice_zh-TW_17397697,0.5s,11,,,我开始无法相信自己,,,,,,,,,,
common_voice_zh-TW_17397784,0.5s,7,,,苹果甜又便宜,,,,,,,,,,
common_voice_zh-TW_17397840,0.5s,7,,,到了山顶超冷,,,,,,,,,,
common_voice_zh-TW_17405054,0.5s,7,,,你曾说过害怕回到当初,,,,,,,,,,
common_voice_zh-TW_17405107,0.5s,8,,,这是我十年来的研究成果,,,,,,,,,,
common_voice_zh-TW_17407776,0.5s,11,,,持续针对危险建筑进行盘点,,,,,,,,,,
common_voice_zh-TW_17407794,0.5s,8,,,让我坐在妳身旁，肩并著肩,,,,,,,,,,
common_voice_zh-TW_17407811,0.5s,8,,,新笔电看起来性能也没差很多,,,,,,,,,,
common_voice_zh-TW_17407847,0.5s,7,,,在机场找了一段时间,,,,,,,,,,
common_voice_zh-TW_17407892,0.5s,7,,,像在黑暗中看见一线光芒,,,,,,,,,,
common_voice_zh-TW_17408020,0.5s,11,,,从小学开始养成写日记的习惯,,,,,,,,,,
common_voice_zh-TW_17415027,0.5s,7,,,清理用了十几年的除湿机,,,,,,,,,,
common_voice_zh-TW_17417429,0.5s,12,,,无印良品数位影印输出中心,,,,,,,,,,
common_voice_zh-TW_17419500,0.5s,7,,,妳脸上幸福的表情,,,,,,,,,,
common_voice_zh-TW_17420675,0.5s,11,,,于延平北路七段到九段打造林荫大道,,,,,,,,,,
common_voice_zh-TW_17420703,0.5s,7,,,也不想想家里的人还没吃饭,,,,,,,,,,
common_voice_zh-TW_17420734,0.5s,7,,,大家能充分利用时间,,,,,,,,,,
common_voice_zh-TW_17421058,0.5s,7,,,一家搬往台北芦洲,,,,,,,,,,
common_voice_zh-TW_17421089,0.5s,7,,,把作生意用的准备金赔光了,,,,,,,,,,
common_voice_zh-TW_17421111,0.5s,9,,,台北数位产业园区于六月底正式营运,,,,,,,,,,
common_voice_zh-TW_17422988,0.5s,7,,,基隆市的七堵、五堵,,,,,,,,,,
common_voice_zh-TW_17426366,0.5s,9,,,在能力范围内,,,,,,,,,,
common_voice_zh-TW_17426374,0.5s,8,,,优先进行补强工程,,,,,,,,,,
common_voice_zh-TW_17426383,0.5s,7,,,说不出话来,,,,,,,,,,
common_voice_zh-TW_17426417,0.5s,9,,,就是坚持要合法安全,,,,,,,,,,
common_voice_zh-TW_17426494,0.5s,9,,,再这样下去妳身体会弄坏的,,,,,,,,,,
common_voice_zh-TW_17426501,0.5s,8,,,他不时去摸摸她的头,,,,,,,,,,
common_voice_zh-TW_17426516,0.5s,8,,,还有那种闲适的心情,,,,,,,,,,
common_voice_zh-TW_17428685,0.5s,7,,,号召高三毕业生现场面试,,,,,,,,,,
common_voice_zh-TW_17431039,0.5s,7,,,心里雀跃无比,,,,,,,,,,
common_voice_zh-TW_17437247,0.5s,8,,,那边卖的苹果真的好吃,,,,,,,,,,
common_voice_zh-TW_17437277,0.5s,8,,,农历春节在两岸都是最重要的节庆,,,,,,,,,,
common_voice_zh-TW_17437279,0.5s,7,,,成功在多处复育萤火虫,,,,,,,,,,
common_voice_zh-TW_17437319,0.5s,7,,,最近刚好有点忙,,,,,,,,,,
common_voice_zh-TW_17440942,0.5s,7,,,他们心疼小儿子居无定所,,,,,,,,,,
common_voice_zh-TW_17458520,0.5s,9,,,那间工厂因营运不善要裁员,,,,,,,,,,
common_voice_zh-TW_17460960,0.5s,7,,,让他们过著苦日子,,,,,,,,,,
common_voice_zh-TW_17460981,0.5s,8,,,努力寻找正职机会,,,,,,,,,,
common_voice_zh-TW_17460993,0.5s,9,,,都对这幅画留下了深刻的印象,,,,,,,,,,
common_voice_zh-TW_17460995,0.5s,8,,,阳光与月光交替时分,,,,,,,,,,
common_voice_zh-TW_17460998,0.5s,8,,,我们会有更坚强的实力,,,,,,,,,,
common_voice_zh-TW_17461010,0.5s,9,,,中央目的事业主管机关查核,,,,,,,,,,
common_voice_zh-TW_17476386,0.5s,8,,,骗老师这题我会了,,,,,,,,,,
common_voice_zh-TW_17477259,0.5s,7,,,从除夕到元宵节,,,,,,,,,,
common_voice_zh-TW_17484090,0.5s,7,,,步伐踉跄险些跌倒在地,,,,,,,,,,
common_voice_zh-TW_17507947,0.5s,9,,,严重的灾情以及人命的伤亡,,,,,,,,,,
common_voice_zh-TW_17507982,0.5s,8,,,让相对弱势的家庭有屋可住,,,,,,,,,,
common_voice_zh-TW_17507988,0.5s,9,,,桃园新竹与宜兰假日哪里好玩,,,,,,,,,,
common_voice_zh-TW_17508017,0.5s,7,,,世界上第二有公信力的,,,,,,,,,,
common_voice_zh-TW_17508101,0.5s,8,,,看她会不会像女儿小时候一样,,,,,,,,,,
