file_name,file_path,duration,transcription,speaker_id,asr_result,cer,MOS_Quality,MOS_Naturalness,TER
test-000000000,./hokkien/test/test-000000000.mp3,2.5275,我沒咧驚,8c4a30530366c24080fe985b3a38959b60d594c29d822d780a8ff483f18f8bb8410b1149fa893d0c1df74c2b29ad19471caaf080dcea4ffa9a1bc4fea7e7625a,我無咧行,0.5,3.091370105743408,2.658339262008667,0.5
test-000000001,./hokkien/test/test-000000001.mp3,2.4555,無一下著,91d3276387f10f100340cf4e11ec9e30d3991e0250d37732a26a63ba6076e7a2eaeb71f9223694889277dbd8444751649c201cfacee6d909fc2b5f69969e4b0e,無一下著,0.0,4.780145168304443,3.0499179363250732,0.0
test-000000002,./hokkien/test/test-000000002.mp3,2.7075,烏白試,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,烏白試,0.0,2.4899978637695312,3.1767160892486572,0.0
test-000000003,./hokkien/test/test-000000003.mp3,1.9875,大根,8f67bde7cd20d47f6606adad20070a79abf4a8c2926fc02dd1927f5b74dacdeac7119a8b3056f659d381323999dc1f938fc55f9b18df295a88836057881c0b6f,大軍,0.5,2.8481802940368652,2.444580554962158,0.0
test-000000004,./hokkien/test/test-000000004.mp3,3.3555,安坑,d7f3f281fd5bac3d3c2d28de5222ddd69a7c9d8bb67c30a7117fc07708523e7e53649e6cca7ae2cb4056dee2d3a8f4f056c706cf0e29d548cd24028aace5f587,暗坑,0.5,2.7905333042144775,2.023979663848877,0.0
test-000000005,./hokkien/test/test-000000005.mp3,2.3475,翹喙仔,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,跳喙仔,0.3333333333333333,3.8254809379577637,2.5685746669769287,0.0
test-000000006,./hokkien/test/test-000000006.mp3,2.8155,喝一下是,91d3276387f10f100340cf4e11ec9e30d3991e0250d37732a26a63ba6076e7a2eaeb71f9223694889277dbd8444751649c201cfacee6d909fc2b5f69969e4b0e,看一睫絲,0.75,4.367892265319824,3.3033041954040527,0.5
test-000000008,./hokkien/test/test-000000008.mp3,1.6635,誓約,2507891e3095276a01bc63e92275fec617b51ea29e8cc022f603b80d868a3e8f8417b992db2d50f20128ffe1cd12d6997694fe1316087123a822e6e0a5935ad7,細藥,1.0,2.98380708694458,3.0915212631225586,0.5
test-000000010,./hokkien/test/test-000000010.mp3,4.3635,長鬚狐,7824dabf407178292fcc2699ddc93cf051c2543c9a3ffb21e28be0c452ea3a8ebe517ef8582a1ed90b45b9aae4069fa7aaec3fb8f6322793bc44c6a940a2f3c6,陳柱虎,1.0,3.4198496341705322,3.4208528995513916,0.3333333333333333
test-000000012,./hokkien/test/test-000000012.mp3,1.8435,無意無意,91d3276387f10f100340cf4e11ec9e30d3991e0250d37732a26a63ba6076e7a2eaeb71f9223694889277dbd8444751649c201cfacee6d909fc2b5f69969e4b0e,無意無意,0.0,3.9342076778411865,3.3839786052703857,0.0
test-000000013,./hokkien/test/test-000000013.mp3,2.0595,虯筋,a4a92c9442523d4d08f8277f2088173789704bc657e98b49f81da1d6b870140656b3cb76b977ee44c2fdc34d3d3079dc91e2f788e8759d906f8653f3a6b22737,虹筋,0.5,3.6786234378814697,3.0079915523529053,0.0
test-000000016,./hokkien/test/test-000000016.mp3,2.5797,真歹,0a91ee220b659c66bc802b8e4979395a80fc184bc9932b0abc1badb381bb0f936c3d26ddfe927a291e2b09248e8fb8fe76140d4424d6d483343dbfda6559a360,真歹,0.0,3.789659261703491,2.664945602416992,0.0
test-000000018,./hokkien/test/test-000000018.mp3,3.2475,踏著好地步,7f33d44897348d0b72c2372c9af55e4b49a214f2c806ad10be93f2bdf89cae765fa66883bdca60331106c4189fe3474f65e1724ae554c193808c59be674bd703,踏著好地步,0.0,4.609304428100586,3.7819650173187256,0.0
test-000000020,./hokkien/test/test-000000020.mp3,1.8435,諸暨,64018a4c52c167912f6eb10d451155413420b48897525e5f14016c77e91073ee37a93dd5568ef3b27b28a8b725ea2036b53155b122a6b740382a27837bd31d7e,子記,1.0,3.288325548171997,3.468287706375122,0.5
test-000000021,./hokkien/test/test-000000021.mp3,2.2755,軸線,64018a4c52c167912f6eb10d451155413420b48897525e5f14016c77e91073ee37a93dd5568ef3b27b28a8b725ea2036b53155b122a6b740382a27837bd31d7e,竹山,1.0,2.9621989727020264,1.8003405332565308,1.0
test-000000022,./hokkien/test/test-000000022.mp3,1.7355,熊掌,64018a4c52c167912f6eb10d451155413420b48897525e5f14016c77e91073ee37a93dd5568ef3b27b28a8b725ea2036b53155b122a6b740382a27837bd31d7e,鑫蟈蟲,1.5,2.3495872020721436,2.419126033782959,1.0
test-000000025,./hokkien/test/test-000000025.mp3,2.0235,飛魚卵,8c4a30530366c24080fe985b3a38959b60d594c29d822d780a8ff483f18f8bb8410b1149fa893d0c1df74c2b29ad19471caaf080dcea4ffa9a1bc4fea7e7625a,飛魚卵,0.0,3.372692823410034,2.8555078506469727,0.0
test-000000028,./hokkien/test/test-000000028.mp3,2.3835,拍,315cb7242c595b562502500361e80fcbd6a4795c237fe9c68f753166099092b80258807aa904b916de066173e0b0fed83b611c6c3f6eefd75d54a65dfef7c97b,曝,1.0,2.0931150913238525,1.5162339210510254,0.0
test-000000029,./hokkien/test/test-000000029.mp3,1.9875,羅東鎮,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,羅東鎮,0.0,4.183180809020996,2.8161239624023438,0.0
test-000000030,./hokkien/test/test-000000030.mp3,4.0035,湖底,410ec44fb512468d4127de6c5ba59b1f0d79e5de0577ca356c88b3d8caa85887fec3a1ae3b1245708f585d06a959b62679ced4f542bb00a483ec0fb790ebe8cf,鶴底,0.5,3.007582902908325,1.774351954460144,0.5
test-000000034,./hokkien/test/test-000000034.mp3,2.6355,堉琪橋,7f33d44897348d0b72c2372c9af55e4b49a214f2c806ad10be93f2bdf89cae765fa66883bdca60331106c4189fe3474f65e1724ae554c193808c59be674bd703,堉琪橋,0.0,4.777716636657715,3.615755558013916,0.0
test-000000036,./hokkien/test/test-000000036.mp3,2.2755,淡江大學,64018a4c52c167912f6eb10d451155413420b48897525e5f14016c77e91073ee37a93dd5568ef3b27b28a8b725ea2036b53155b122a6b740382a27837bd31d7e,臺港大學,0.5,2.9214046001434326,2.061048984527588,0.5
test-000000037,./hokkien/test/test-000000037.mp3,1.9155,兵馬尪仔,2507891e3095276a01bc63e92275fec617b51ea29e8cc022f603b80d868a3e8f8417b992db2d50f20128ffe1cd12d6997694fe1316087123a822e6e0a5935ad7,鎮馬鞍仔,0.5,3.6816489696502686,3.468946933746338,0.25
test-000000040,./hokkien/test/test-000000040.mp3,1.9875,錢筒,8c4a30530366c24080fe985b3a38959b60d594c29d822d780a8ff483f18f8bb8410b1149fa893d0c1df74c2b29ad19471caaf080dcea4ffa9a1bc4fea7e7625a,錢丼,0.5,2.14802622795105,2.3979249000549316,0.0
test-000000041,./hokkien/test/test-000000041.mp3,3.2277,風路坑,a94764404fd3d2fef6668a69d1c3ed20e16381ac67954cdc4613c96b2a0d808c905bc8ae64acb6c69542626611425be1ae0504ce094c2cd0bfb9e3be74c07d7a,蜂路坑,0.3333333333333333,3.1708452701568604,2.9768104553222656,0.0
test-000000042,./hokkien/test/test-000000042.mp3,2.1675,阮會曉唸,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,勇會了標簾,1.0,2.390091896057129,2.510423421859741,0.75
test-000000044,./hokkien/test/test-000000044.mp3,2.2755,老老茈茈,8c4a30530366c24080fe985b3a38959b60d594c29d822d780a8ff483f18f8bb8410b1149fa893d0c1df74c2b29ad19471caaf080dcea4ffa9a1bc4fea7e7625a,漏漏繩繩,1.0,2.9967057704925537,2.3351564407348633,0.5
test-000000045,./hokkien/test/test-000000045.mp3,2.5635,露營區,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,路營區,0.3333333333333333,2.9946179389953613,2.8790030479431152,0.0
test-000000046,./hokkien/test/test-000000046.mp3,3.2835,受氣,a94764404fd3d2fef6668a69d1c3ed20e16381ac67954cdc4613c96b2a0d808c905bc8ae64acb6c69542626611425be1ae0504ce094c2cd0bfb9e3be74c07d7a,收齒,1.0,3.3976385593414307,2.822824716567993,0.5
test-000000047,./hokkien/test/test-000000047.mp3,1.9875,石頭城,64018a4c52c167912f6eb10d451155413420b48897525e5f14016c77e91073ee37a93dd5568ef3b27b28a8b725ea2036b53155b122a6b740382a27837bd31d7e,足頭生,0.6666666666666666,4.278648376464844,3.3735718727111816,0.6666666666666666
test-000000050,./hokkien/test/test-000000050.mp3,2.0235,了家伙,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,寮低火,1.0,3.2647268772125244,2.965059280395508,0.6666666666666666
