file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity,original_cer,inference_cer,dcer
common_voice_zh-TW_26659271,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26659271.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_26659271_inference.wav,两湖盆地是长江流域的心脏要地,兩湖盆地是長江流域的心臟藥地,两湖盆地是长江流域的心脏药地,两湖盆地是长江流域的心脏药地,两湖盆地是长江流域的心脏药地,2.901721954345703,1.0900497436523438,0.2096617305512381,0.0770009458065033,0.07142857142857142,0.07142857142857142,0.0
common_voice_zh-TW_26845552,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26845552.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_26845552_inference.wav,选举公报的格式,选举公报的格式,選舉公報的格式,选举公报的格式,选举公报的格式,2.360183954238892,1.173369288444519,0.0829726372552211,0.2301347851753235,0.0,0.0,0.0
common_voice_zh-TW_35101245,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_35101245.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_35101245_inference.wav,照片会存入云端硬碟,照片会存入云端硬碟,照片会存入云端硬碟,照片会存入云端硬碟,照片会存入云端硬碟,1.4750221967697144,1.6913641691207886,0.0950102674012833,0.3913711607456207,0.0,0.0,0.0
common_voice_zh-TW_24477678,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477678.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_24477678_inference.wav,冲突升高,冲突升高,冲突升高,冲突升高,冲突升高,3.44742751121521,1.2349470853805542,0.3249625084610818,0.2269731760025024,0.0,0.0,0.0
common_voice_zh-TW_27420342,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_27420342.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_27420342_inference.wav,经过造山运动,经过造山运动,经过教权运动,经过造山运动,经过教权运动,1.515681505203247,1.16520094871521,0.1017785381716635,0.191990464925766,0.0,0.3333333333333333,0.3333333333333333
common_voice_zh-TW_21339092,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21339092.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_21339092_inference.wav,那如果把看到的转打字出来，就算可以了吗？,那如果把看到的转打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,3.563795804977417,1.3285223245620728,0.0798534580276121,0.0363723263144493,0.1,0.1,0.0
common_voice_zh-TW_28066581,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_28066581.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_28066581_inference.wav,步骤的主要目的为何？,步骤的主要目的为何?,步骤的主要目的为何?,步骤的主要目的为何?,步骤的主要目的为何?,2.284176826477051,1.1368131637573242,0.1229260931423979,0.2748506069183349,0.1,0.1,0.0
common_voice_zh-TW_19227247,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19227247.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_19227247_inference.wav,请到登记处进行登记,请到登记处进行登记,请到登记处进行登记,请到登记处进行登记,请到登记处进行登记,2.401141166687012,1.2172865867614746,0.182698521818743,0.0617088340222835,0.0,0.0,0.0
common_voice_zh-TW_19305960,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19305960.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_19305960_inference.wav,也就是以此类推,也就是以此類推,你就是一紙內推,也就是以此类推,你就是一纸内推,1.2769396305084229,1.170203447341919,-0.0072118442254197,-0.0320774242281913,0.0,0.5714285714285714,0.5714285714285714
common_voice_zh-TW_22720959,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22720959.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_22720959_inference.wav,我的演说就要结束了,我的演說就要結束了,我的演說就要結束了,我的演说就要结束了,我的演说就要结束了,3.314915180206299,1.0559154748916626,0.0721132358304742,0.0392772331833839,0.0,0.0,0.0
common_voice_zh-TW_22766584,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22766584.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_22766584_inference.wav,人生就是起起落落，并且祈祷机长不要出差错,"人生就是起起落落,并且祈祷积攒,不要出差错","人生就是起起落落,並且祈禱,激展,不要出差錯。","人生就是起起落落,并且祈祷积攒,不要出差错","人生就是起起落落,并且祈祷,激展,不要出差错",2.6285767555236816,1.7460007667541504,0.0799700177987314,0.158990278840065,0.2,0.25,0.04999999999999999
common_voice_zh-TW_31158867,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_31158867.mp3,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/common_voice_zh-TW_31158867_inference.wav,施力点在中间,施力點在中間,施力点在中间,施力点在中间,施力点在中间,3.221378326416016,1.2660622596740725,0.24518254734789,0.1062515303492546,0.0,0.0,0.0
