file_name,original_path,inference_path,ground_truth,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi
61-70968-0013,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified."," Before them fled the stroller and his three sons, capless and terrified.",0.0,0.0,0.0,4.01823616027832,2.6657180786132812,0.9385374760822796
61-70968-0040,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin."," ""'Write willingly, for between us we have won the battle,' answered Robin.",0.3333333333333333,0.3333333333333333,0.0,4.188737869262695,2.882077932357788,0.9439480918472771
61-70968-0015,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller."," Nay, we refused their request most politely, most noble, said the little stroller.",0.0,0.0,0.0,3.991032361984253,2.7615437507629395,0.9554188037071948
61-70968-0028,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet."," The head-in-chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet.",0.0,0.26666666666666666,0.26666666666666666,4.174328804016113,2.7204484939575195,0.9602053349758072
61-70968-0054,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,0.06666666666666667,0.06666666666666667,0.0,4.097285270690918,2.7570080757141113,0.9546903097037062
61-70968-0011,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent.", he gave way to the others very readily and retreated unperceived by the squire and mistress fitzuth to the rear of the tent,0.08695652173913043,0.08695652173913043,0.0,4.128567695617676,2.7009105682373047,0.9533336098497968
61-70968-0046,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded."," Nottingham Castle was reached, and admittance was demanded.",0.0,0.0,0.0,4.2899088859558105,2.652188301086426,0.9531832397593456
61-70968-0050,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm."," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",0.0,0.0,0.0,4.004386901855469,2.808690071105957,0.9401806223510745
61-70968-0014,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt."," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt.",0.125,0.125,0.0,4.020035743713379,2.764075517654419,0.9621704550292263
61-70968-0019,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd."," It is enough, said George Gamewell sharply, as he turned upon the crowd.",0.15384615384615385,0.15384615384615385,0.0,3.9149973392486572,2.6216416358947754,0.9508094871807206
61-70968-0033,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0033.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0033_inference.wav,THRUSTING OPEN THE PROPER ENTRANCE OF THE TENT ROBIN SUDDENLY RUSHED FORTH WITH HIS BURDEN WITH A GREAT SHOUT," Thrusting open the proper entrance of the tent, Robin suddenly rushed forth with his burden with a great shout."," Thrusting open the proper entrance of the tent, Robin suddenly rushed forth with his burden with a great shout.",0.0,0.0,0.0,4.206707954406738,2.7141127586364746,0.9717884009330455
61-70968-0048,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0048.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0048_inference.wav,AND HENRY MIGHT RETURN TO ENGLAND AT ANY MOMENT, and Henry might return to England at any moment., and Henry might return to England at any moment.,0.0,0.0,0.0,3.68025541305542,2.353595733642578,0.9350440612764359
61-70968-0007,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0007.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0007_inference.wav,SISTER NELL DO YOU HEAR THESE MARVELS," Sister Nell, do you hear these marvels?"," Sister Nell, do you hear these marvels?",0.0,0.0,0.0,3.279374599456787,2.307335376739502,0.887771991275789
61-70968-0055,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0055.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0055_inference.wav,ROBIN WAS GLAD WHEN AT LENGTH THEY WERE LEFT TO THEIR OWN DEVICES," Robin was glad when, at length, they were left to their own devices."," Robin was glad when, at length, they were left to their own devices.",0.0,0.0,0.0,4.045479774475098,3.1474103927612305,0.9411986416453456
61-70968-0039,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0039.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0039_inference.wav,AND MINE IS WILL STUTELEY SHALL WE BE COMRADES, And mine is Will Stutley. Shall we be comrades?," And mine is Will Stutley. Shall we become, Rads?",0.1111111111111111,0.5555555555555556,0.4444444444444445,4.206709384918213,2.833418846130371,0.9206772372871675
61-70968-0049,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0049.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0049_inference.wav,HAVE YOUR WILL CHILD IF THE BOY ALSO WILLS IT MONTFICHET ANSWERED FEELING TOO ILL TO OPPOSE ANYTHING VERY STRONGLY JUST THEN, have your will child if the boy also wills it montfich answered feeling too ill to oppose anything very strongly just then, have your will child if the boy also wills it montvich answered feeling too ill to oppose anything very strongly just then,0.09090909090909091,0.13636363636363635,0.04545454545454544,3.847228527069092,2.817868232727051,0.9463902919031296
61-70968-0020,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0020.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0020_inference.wav,SHAME ON YOU CITIZENS CRIED HE I BLUSH FOR MY FELLOWS OF NOTTINGHAM," ""'Shame on you, citizens!' cried he. ""'I blush for my fellows of Nottingham!'"," ""'Shame on you, citizens!' cried he. ""'I blush for my fellows of Nottingham!'",0.0,0.0,0.0,3.720710277557373,2.6244821548461914,0.9532946357496235
61-70968-0035,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0035.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0035_inference.wav,TAKING ADVANTAGE OF THIS THE SQUIRE'S FEW MEN REDOUBLED THEIR EFFORTS AND ENCOURAGED BY ROBIN'S AND THE LITTLE STROLLER'S CRIES FOUGHT THEIR WAY TO HIM," Taking advantage of this, the squire's few men redoubled their efforts, and, encouraged by Robbins and the little stroller's cries, fought their way to him.", taking advantage of this the squire's few men redoubled their efforts and encouraged by robin's and the little stroller's cries fought their way to him,0.04,0.0,-0.04,4.207042217254639,2.6974234580993652,0.9608754432013734
61-70968-0060,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0060.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0060_inference.wav,NO THANKS I AM GLAD TO GIVE YOU SUCH EASY HAPPINESS, No thanks. I am glad to give you such easy happiness., No thanks. I am glad to give you such easy happiness.,0.0,0.0,0.0,4.303038120269775,2.643540620803833,0.9507901804833758
61-70968-0000,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0000.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0000_inference.wav,HE BEGAN A CONFUSED COMPLAINT AGAINST THE WIZARD WHO HAD VANISHED BEHIND THE CURTAIN ON THE LEFT," He began a confused complaint against the wizard, who had vanished behind the curtain on the left."," He began a confused complaint against the wizard, who had vanished behind the curtain on the left.",0.0,0.0,0.0,4.062941551208496,2.336854934692383,0.9576155429236678
61-70968-0053,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0053.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0053_inference.wav,HE IS MY ESQUIRE EXCELLENCY RETURNED ROBIN WITH DIGNITY," ""'He is my esquire, Excellency,' returned Robin with dignity."," ""'He is my esquire, Excellency,' returned Robin with dignity.",0.0,0.0,0.0,4.123797416687012,2.6853137016296387,0.9371924752813713
61-70968-0024,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0024.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0024_inference.wav,SPOKE THE SQUIRE LOSING ALL PATIENCE AND IT WAS TO YOU THAT I GAVE ANOTHER PURSE IN CONSOLATION," spoke the squire, losing all patience. And it was to you that I gave another person consolation."," spoke the squire, losing all patience. ""'And it was to you that I gave another person consolation!'",0.2222222222222222,0.2222222222222222,0.0,3.872035264968872,2.4423294067382812,0.9331554885342108
61-70968-0057,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0057.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0057_inference.wav,THESE ESCAPADES ARE NOT FOR OLD GAMEWELL LAD HIS DAY HAS COME TO TWILIGHT," These escapades are not for old Gamewell, lad. His day has come to twilight."," These escapades are not for old Gamewell, lad. His day has come to twilight.",0.0,0.0,0.0,3.5989673137664795,2.357470750808716,0.9555470621744147
61-70968-0004,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0004.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0004_inference.wav,ALSO THERE WAS A STRIPLING PAGE WHO TURNED INTO A MAID, Also there was a stripling page who turned into a maid., Also there was a stripling page who turned into a maid.,0.0,0.0,0.0,4.149984836578369,2.333564043045044,0.9506781825691568
61-70968-0030,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0030.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0030_inference.wav,NOW BE SILENT ON YOUR LIVES HE BEGAN BUT THE CAPTURED APPRENTICE SET UP AN INSTANT SHOUT," Now be silent on your lives, he began, but the captured apprentice set up an instant shout."," Now be silent on your lives, he began, but the captured apprentice set up an instant shout.",0.0,0.0,0.0,3.8334784507751465,2.6551060676574707,0.9636680203439938
61-70968-0045,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0045.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0045_inference.wav,PRAY FOLLOW US WITH MINE AND MY LORD SHERIFF'S MEN," Pray follow us, with mine and my Lord Sheriff's men."," Pray follow us, with mine and my lord sheriff's men.",0.0,0.0,0.0,4.0471038818359375,3.0255701541900635,0.948347462527423
61-70968-0027,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0027.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0027_inference.wav,ROBIN AND THE LITTLE TUMBLER BETWEEN THEM TRIED TO FORCE THE SQUIRE TO STAND BACK AND VERY VALIANTLY DID THESE TWO COMPORT THEMSELVES," Robin and the little tumbler between them tried to force the squire to stand back, and very valiantly did these two comport themselves."," Robin and the little tumbler between them tried to force the squire to stand back, and very valiantly did these two comport themselves.",0.0,0.0,0.0,4.028389930725098,2.973916530609131,0.9651706072226748
61-70968-0025,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0025.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0025_inference.wav,COME TO ME MEN HERE HERE HE RAISED HIS VOICE STILL LOUDER," Come to me, men! Here! Here!"" He raised his voice still louder."," ""'Come to me, men! Here! Here!' He raised his voice still louder.",0.0,0.0,0.0,4.24517297744751,2.8916847705841064,0.9587128041156086
61-70968-0005,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0005.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0005_inference.wav,THIS WAS SO SWEET A LADY SIR AND IN SOME MANNER I DO THINK SHE DIED," This was so, sweet lady, sir, and in some manner I do think she died.", this was so sweet a lady sir and in some manner i do think she died,0.125,0.0,-0.125,4.225486755371094,2.408895254135132,0.9052960703409889
61-70968-0061,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0061.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0061_inference.wav,YOU ARE A WORTHY LEECH WILL PRESENTLY WHISPERED ROBIN THE WINE HAS WORKED A MARVEL," ""'You are a worthy leech, Will,' presently whispered Robin. ""'The wine has worked a marvel.'"," ""'You are a worthy leech, Will,' presently whispered Robin. ""'The wine has worked a marvel.'",0.0,0.0,0.0,3.701124429702759,2.399393081665039,0.922006182257901
61-70968-0037,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0037.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0037_inference.wav,WHAT IS YOUR NAME LORDING ASKED THE LITTLE STROLLER PRESENTLY," ""'What is your name, lording?' asked the little stroller presently."," ""'What is your name, lording?' asked the little stroller presently.",0.0,0.0,0.0,3.8158164024353027,2.2324273586273193,0.9084551161333788
61-70968-0034,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0034.flac,/homes/jiasin/NanoCodec/nemo_recons_wav_librispeech_1.89kbps/61-70968-0034_inference.wav,A MONTFICHET A MONTFICHET GAMEWELL TO THE RESCUE," Amont Vichy, Amont Vichy, game well to the rescue!"," Amon Fichet, Amon Fichet, gain well to the rescue!",1.0,0.875,-0.125,3.5472028255462646,2.503643035888672,0.9547654527002459
