file_name,file_path,duration,transcription,speaker_id,asr_result,cer,MOS_Quality,MOS_Naturalness,TER
test-000000001,./hokkien/test/test-000000001.mp3,2.4555,無一下著,91d3276387f10f100340cf4e11ec9e30d3991e0250d37732a26a63ba6076e7a2eaeb71f9223694889277dbd8444751649c201cfacee6d909fc2b5f69969e4b0e,無一下著,0.0,4.780145168304443,3.049917936325073,0.0
test-000000002,./hokkien/test/test-000000002.mp3,2.7075,烏白試,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,烏白試,0.0,2.4899978637695312,3.176716089248657,0.0
test-000000012,./hokkien/test/test-000000012.mp3,1.8435,無意無意,91d3276387f10f100340cf4e11ec9e30d3991e0250d37732a26a63ba6076e7a2eaeb71f9223694889277dbd8444751649c201cfacee6d909fc2b5f69969e4b0e,無意無意,0.0,3.9342076778411865,3.3839786052703857,0.0
test-000000016,./hokkien/test/test-000000016.mp3,2.5797,真歹,0a91ee220b659c66bc802b8e4979395a80fc184bc9932b0abc1badb381bb0f936c3d26ddfe927a291e2b09248e8fb8fe76140d4424d6d483343dbfda6559a360,真歹,0.0,3.789659261703491,2.664945602416992,0.0
test-000000018,./hokkien/test/test-000000018.mp3,3.2475,踏著好地步,7f33d44897348d0b72c2372c9af55e4b49a214f2c806ad10be93f2bdf89cae765fa66883bdca60331106c4189fe3474f65e1724ae554c193808c59be674bd703,踏著好地步,0.0,4.609304428100586,3.7819650173187256,0.0
test-000000025,./hokkien/test/test-000000025.mp3,2.0235,飛魚卵,8c4a30530366c24080fe985b3a38959b60d594c29d822d780a8ff483f18f8bb8410b1149fa893d0c1df74c2b29ad19471caaf080dcea4ffa9a1bc4fea7e7625a,飛魚卵,0.0,3.372692823410034,2.8555078506469727,0.0
test-000000029,./hokkien/test/test-000000029.mp3,1.9875,羅東鎮,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,羅東鎮,0.0,4.183180809020996,2.816123962402344,0.0
test-000000034,./hokkien/test/test-000000034.mp3,2.6355,堉琪橋,7f33d44897348d0b72c2372c9af55e4b49a214f2c806ad10be93f2bdf89cae765fa66883bdca60331106c4189fe3474f65e1724ae554c193808c59be674bd703,堉琪橋,0.0,4.777716636657715,3.615755558013916,0.0
test-000000061,./hokkien/test/test-000000061.mp3,3.3555,下晝時仔,6ab5b7650b46eaac631ca6ab60c1cf1e75fc930a24f3769d49f8bdad605c0b21bd6568c6bddb294ad5991a011098aeea184e9a137437ad70dcad52b889ae5b0e,下晝時仔,0.0,3.6241872310638414,2.1859469413757324,0.0
test-000000066,./hokkien/test/test-000000066.mp3,1.9155,袂死心,64018a4c52c167912f6eb10d451155413420b48897525e5f14016c77e91073ee37a93dd5568ef3b27b28a8b725ea2036b53155b122a6b740382a27837bd31d7e,袂死心,0.0,4.58056640625,3.6849207878112793,0.0
