file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
61-70968-0013,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified.", Before them fled the stroller and his three sons. Cap wasn't terrified.,before them fled the stroller and his three sons capless and terrified,before them fled the stroller and his three sons cap wasnt terrified,0.0,0.16666666666666666,0.16666666666666666,3.9346063137054443,1.0303772687911987,0.22680053409726453,0.06557732075452805
61-70968-0040,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin."," ""'Write willingly, for between us we have won the battle,' answered Robin.""",write willingly for between us we have won the battle answered robin,write willingly for between us we have won the battle answered robin,0.08333333333333333,0.08333333333333333,0.0,3.863151788711548,1.0300915241241455,0.2208356638913623,0.031276971101760864
61-70968-0015,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller."," Nay, we refused their request most politely, most noble, said the little stroller.",nay we refused their request most politely most noble said the little stroller,nay we refused their request most politely most noble said the little stroller,0.0,0.0,0.0,3.888702392578125,1.025107741355896,0.13832056978071736,0.05830009654164314
61-70968-0028,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet."," The head and chief of the riot that Odiham apprenticed, with clenched fists, threatened Montfichet.",the head and chief of the riot the nottingham apprentice with clenched fists threatened montfichet,the head and chief of the riot that odiham apprenticed with clenched fists threatened montfichet,0.0,0.2,0.2,3.873060703277588,1.0266327857971191,0.12689935230881602,0.09512031078338623
61-70968-0054,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet," Mistress Fittuth had been carried off by the surest daughter and her maids as soon as they had entered the house, so that Robin alone had the care of Montvichet.",mistress fitzuth had been carried off by the sheriffs daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,mistress fittuth had been carried off by the surest daughter and her maids as soon as they had entered the house so that robin alone had the care of montvichet,0.03333333333333333,0.1,0.06666666666666668,3.8654706478118896,1.0228520631790161,0.17386589536531985,0.08200753480195999
61-70968-0011,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent."," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzhuth to the rear of the tent.",he gave way to the others very readily and retreated unperceived by the squire and mistress fitzuth to the rear of the tent,he gave way to the others very readily and retreated unperceived by the squire and mistress fitzhuth to the rear of the tent,0.043478260869565216,0.043478260869565216,0.0,3.698057174682617,1.0245630741119385,0.2017558641403831,0.17344050109386444
61-70968-0046,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded."," Nottingham Castle was reached, and admittance was demanded.",nottingham castle was reached and admittance was demanded,nottingham castle was reached and admittance was demanded,0.0,0.0,0.0,4.034575939178467,1.0276662111282349,0.08462729596367807,0.09348184615373611
61-70968-0050,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm."," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",he made an effort to hide his condition from them all and robin felt his fingers tighten upon his arm,he made an effort to hide his condition from them all and robin felt his fingers tighten upon his arm,0.0,0.0,0.0,3.8086233139038086,1.0270358324050903,0.16250859384375177,0.012940571643412113
61-70968-0014,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt."," ""'What is that tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which haunted his belt.",what is the tumult and rioting cried out the squire authoritatively and he blew twice on the silver whistle which hung at his belt,what is that tumult and rioting cried out the squire authoritatively and he blew twice on the silver whistle which haunted his belt,0.041666666666666664,0.16666666666666666,0.125,3.4558537006378174,1.0374863147735596,0.12159426505375236,0.12978675961494446
61-70968-0019,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd."," ""'It is enough,' said Torch Gamewell sharply as he turned upon the crowd.",it is enough said george gamewell sharply as he turned upon the crowd,it is enough said torch gamewell sharply as he turned upon the crowd,0.07692307692307693,0.15384615384615385,0.07692307692307693,3.496293544769287,1.034334659576416,0.1905010009948495,0.0976329818367958
61-70968-0033,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0033.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0033_inference.wav,THRUSTING OPEN THE PROPER ENTRANCE OF THE TENT ROBIN SUDDENLY RUSHED FORTH WITH HIS BURDEN WITH A GREAT SHOUT," Thrusting open the proper entrance of the tent, Robin suddenly rushed forth with his burden with a great shout."," Thrusting open the proper entrance of the tent, Robin suddenly rushed forth with his burden with a great shout.",thrusting open the proper entrance of the tent robin suddenly rushed forth with his burden with a great shout,thrusting open the proper entrance of the tent robin suddenly rushed forth with his burden with a great shout,0.0,0.0,0.0,3.71102237701416,1.0272908210754395,0.10975916480147589,0.08845137804746628
61-70968-0048,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0048.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0048_inference.wav,AND HENRY MIGHT RETURN TO ENGLAND AT ANY MOMENT, and Henry might return to England at any moment., and Henry might return to England at any moment.,and henry might return to england at any moment,and henry might return to england at any moment,0.0,0.0,0.0,3.3489489555358887,1.024885892868042,0.06607363019307866,0.18477344512939453
61-70968-0007,/mnt/Internal/ASR/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0007.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/librispeech_recon/61-70968-0007_inference.wav,SISTER NELL DO YOU HEAR THESE MARVELS," Sister Nell, do you hear these marvels?"," Sister Nell, do you hear these marvels?",sister nell do you hear these marvels,sister nell do you hear these marvels,0.0,0.0,0.0,3.4970946311950684,1.020396113395691,0.14538043116448754,0.0860939547419548
