file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity
common_voice_zh-TW_17382475,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17382475_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17382475_inference_merged.wav,我总想著前面也许会有更好的,我总想着前面也许会有更好的,我总想着前面也许会有更好的,我总想着前面也许会有更好的,我总想着前面也许会有更好的,2.826610803604126,1.9774560928344727,0.7812349516156489,0.9052018523216248
common_voice_zh-TW_17382798,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17382798_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17382798_inference_merged.wav,听到这消息,听到这消息,听到这消息,听到这消息,听到这消息,3.2936463356018066,2.154820203781128,0.9398424443534087,0.8445116877555847
common_voice_zh-TW_17382870,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17382870_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17382870_inference_merged.wav,证明文件应经审查并妥善保存,證明文件應經審查並妥善保存,證明文件因精神查病妥善保存,证明文件应经审查并妥善保存,证明文件因精神查病妥善保存,2.822322130203247,1.9172557592391968,0.9046431304518978,0.8749876618385315
common_voice_zh-TW_17382928,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17382928_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17382928_inference_merged.wav,她开始想搬回乡下住,他開始想搬回鄉下住,他开始想搬回乡下住,他开始想搬回乡下住,他开始想搬回乡下住,2.6211295127868652,2.1419880390167236,0.9328218054515833,0.8567781448364258
common_voice_zh-TW_17383201,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17383201_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17383201_inference_merged.wav,经过接近一年的治疗,经过接近一年的治疗,經過接近一年的治療,经过接近一年的治疗,经过接近一年的治疗,3.5624704360961914,1.8447809219360352,0.9232223590057757,0.8194006085395813
common_voice_zh-TW_17388304,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17388304_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17388304_inference_merged.wav,你本来就是他的猎物,你本來就是他的獵物,你本來就是他的獵物,你本来就是他的猎物,你本来就是他的猎物,2.6381142139434814,2.44059419631958,0.8865226182823867,0.8665280342102051
common_voice_zh-TW_17388528,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17388528_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17388528_inference_merged.wav,来回一千两百日币,來回一千兩百日幣,來回一千兩百日幣,来回一千两百日币,来回一千两百日币,2.7794294357299805,2.1033670902252197,0.9115021967670959,0.8437767624855042
common_voice_zh-TW_17388792,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17388792_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17388792_inference_merged.wav,一路上他不再出声,一路上他不再出生,一路上他不再出生,一路上他不再出生,一路上他不再出生,3.1910958290100098,1.8900554180145264,0.7142044970435963,0.8354614973068237
common_voice_zh-TW_17389889,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17389889_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17389889_inference_merged.wav,咖啡好喝，点心也很好吃,"咖啡好喝,點心也很好吃","咖啡好喝,點心也很好吃","咖啡好喝,点心也很好吃","咖啡好喝,点心也很好吃",1.6833754777908325,1.6866459846496582,0.91923900204647,0.818189263343811
common_voice_zh-TW_17389904,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17389904_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17389904_inference_merged.wav,四个小孩外出买东西,四个小孩外出买东西,四个小孩外出买东西,四个小孩外出买东西,四个小孩外出买东西,3.1281497478485107,2.083524465560913,0.898343012422636,0.8236100673675537
common_voice_zh-TW_17397697,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17397697_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17397697_inference_merged.wav,我开始无法相信自己,我開始無法相信自己,我开始无法相信自己,我开始无法相信自己,我开始无法相信自己,2.9669740200042725,2.618605375289917,0.9155959297156426,0.818075954914093
common_voice_zh-TW_17397784,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17397784_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17397784_inference_merged.wav,苹果甜又便宜,苹果甜又便宜,苹果甜又便宜,苹果甜又便宜,苹果甜又便宜,1.8370743989944458,1.8223741054534912,0.893370585052224,0.825616180896759
common_voice_zh-TW_17397840,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17397840_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17397840_inference_merged.wav,到了山顶超冷,到了山頂超嫩,到了山頂超冷,到了山顶超嫩,到了山顶超冷,3.019094705581665,1.9904603958129883,0.9257147857478802,0.7465496063232422
common_voice_zh-TW_17405054,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17405054_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17405054_inference_merged.wav,你曾说过害怕回到当初,李晨说过害怕回到当初,你曾说过害怕回到当初,李晨说过害怕回到当初,你曾说过害怕回到当初,2.5762338638305664,2.5465147495269775,0.9408968566362461,0.9167963862419128
common_voice_zh-TW_17405107,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17405107_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17405107_inference_merged.wav,这是我十年来的研究成果,这是我十年来的研究成果,这是我十年来的研究成果,这是我十年来的研究成果,这是我十年来的研究成果,2.278730869293213,1.9361176490783691,0.8918595788752934,0.8618428111076355
common_voice_zh-TW_17407776,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17407776_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17407776_inference_merged.wav,持续针对危险建筑进行盘点,持续针对危险建筑进行盘点。,持续针对危险建筑进行盘点,持续针对危险建筑进行盘点,持续针对危险建筑进行盘点,2.3896896839141846,2.444467782974243,0.9290086361014142,0.9240483641624451
common_voice_zh-TW_17407794,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17407794_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17407794_inference_merged.wav,让我坐在妳身旁，肩并著肩,让我坐在你身旁肩并着肩,让我坐在你身旁肩并着肩,让我坐在你身旁肩并着肩,让我坐在你身旁肩并着肩,2.6611194610595703,2.119297742843628,0.920593360811172,0.855396032333374
common_voice_zh-TW_17407811,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17407811_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17407811_inference_merged.wav,新笔电看起来性能也没差很多,新筆電看起來性能也沒差很多,新筆電看起來性能也沒差很多,新笔电看起来性能也没差很多,新笔电看起来性能也没差很多,2.800647020339966,2.109973907470703,0.8554183290345305,0.9189470410346985
common_voice_zh-TW_17407892,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17407892_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17407892_inference_merged.wav,像在黑暗中看见一线光芒,像在黑暗中看尽一线光芒,像在黑暗中看尽一线光芒,像在黑暗中看尽一线光芒,像在黑暗中看尽一线光芒,2.605449914932251,2.1184301376342773,0.898287480696124,0.8848422765731812
common_voice_zh-TW_17408020,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17408020_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17408020_inference_merged.wav,从小学开始养成写日记的习惯,从小学开始养成写日记的习惯,从小学开始养成写日记的习惯,从小学开始养成写日记的习惯,从小学开始养成写日记的习惯,2.837256669998169,2.001762866973877,0.9252709143035137,0.900702178478241
common_voice_zh-TW_17415027,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17415027_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/NanoCodec/12.5Hz/2K/commonvoice/1.0s/merged/common_voice_zh-TW_17415027_inference_merged.wav,清理用了十几年的除湿机,清理用了十幾年的廚師機,清理用了十幾年的廚師機,清理用了十几年的厨师机,清理用了十几年的厨师机,3.130972385406494,2.0946195125579834,0.8456013990667289,0.8346123695373535
