file_name,file_path,duration,transcription,speaker_id,asr_result,wer,MOS_Quality,MOS_Naturalness
1089-134686-0000,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,10.435,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,1089," He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick, peppered, flour-fattened sauce.",0.07142857142857142,4.510185241699219,4.201177597045898
1089-134686-0001,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac,3.275,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,1089," ""'Stuff it into you,' his belly counselled him.",0.0,4.410548210144043,3.753054141998291
1089-134686-0002,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0002.flac,6.625,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,1089, After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,0.0,4.333464622497559,4.106147766113281
1089-134686-0003,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0003.flac,2.68,HELLO BERTIE ANY GOOD IN YOUR MIND,1089," ""'Hello, Bertie. Any good in your mind?'",0.0,4.70625638961792,2.606074810028076
1089-134686-0004,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,5.2150625,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,1089," Number 10. Fresh Nelly is waiting on you. Good night, husband.",0.09090909090909091,4.239614009857178,4.0403151512146
1089-134686-0005,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0005.flac,9.635,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,1089, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness,0.0,4.435985565185547,4.264545917510986
1089-134686-0006,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0006.flac,10.555,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,1089, the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,0.0,4.58966064453125,4.149323463439941
1089-134686-0007,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,4.275,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,1089," A cold, lucid indifference reigned in his soul.",0.0,4.515622138977051,4.042876243591309
1089-134686-0008,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0008.flac,6.73,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,1089, The chaos in which his ardor extinguished itself was a cold indifferent knowledge of,0.13333333333333333,4.207880020141602,4.137699127197266
1089-134686-0009,./librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0009.flac,10.575,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,1089, at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,0.0,4.566093444824219,4.26416540145874
