file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity
common_voice_zh-TW_19485265,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485265.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_19485265_inference.wav,大家都以为自己才是对的,大家都以为自己才是对的,大家都以為自己才是對的,大家都以为自己才是对的,大家都以为自己才是对的,2.330284595489502,1.1215933561325073,0.6895586697528684,0.3956589698791504
common_voice_zh-TW_19485305,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485305.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_19485305_inference.wav,坚持理念，逐渐站稳脚步,堅持理念逐漸站穩腳步,进此理念逐渐站稳脚步,坚持理念逐渐站稳脚步,进此理念逐渐站稳脚步,2.924886703491211,1.071429967880249,0.6555185411279816,0.36760413646698
common_voice_zh-TW_19485275,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485275.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_19485275_inference.wav,更蕴含极高的商业价值,更蘊含極高的商業價值,耕耘很高的商业价值,更蕴含极高的商业价值,耕耘很高的商业价值,2.81146502494812,1.071363091468811,0.6637798410857805,0.3089599311351776
common_voice_zh-TW_19485323,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485323.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_19485323_inference.wav,看到很废的文章的时候,看到很废的文章的时候,看到很废的文章的时候,看到很废的文章的时候,看到很废的文章的时候,3.2881641387939453,1.1029479503631592,0.7189153282667259,0.4557682275772095
common_voice_zh-TW_19485322,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485322.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_19485322_inference.wav,指定建筑线之现有巷道,指定建筑线之线有相当,是電競主持人就是現有相當,指定建筑线之线有相当,是电竞主持人就是现有相当,3.0608632564544678,1.1104766130447388,0.6059753040976478,0.4776926636695862
common_voice_zh-TW_19485273,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485273.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_19485273_inference.wav,这一百万花不完，今晚不准回家,這一百萬花不完 今晚不准回家,"這一表要花不完,聽完不足力的呀",这一百万花不完今晚不准回家,"这一表要花不完,听完不足力的呀",2.4138541221618652,1.0745468139648438,0.6247105608296992,0.28292980790138245
common_voice_zh-TW_19485300,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19485300.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_19485300_inference.wav,集中力量，以维持国际和平及安全,集中力量以维持国际和平及安全,"其中一條,是歷史古蹟的後勤及安全",集中力量以维持国际和平及安全,"其中一条,是历史古迹的后勤及安全",2.7353968620300293,1.1353509426116943,0.6032159577807695,0.3700851798057556
common_voice_zh-TW_18374965,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374965.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18374965_inference.wav,其实我们都有做了,其實我們都有做了,其实我们都有做人,其实我们都有做了,其实我们都有做人,2.724024772644043,1.2619010210037231,0.4950000576192179,0.5661253333091736
common_voice_zh-TW_18374909,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374909.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18374909_inference.wav,在艺术评价上颇高,在一速平价上火高,在藝術評價上報告,在一速平价上火高,在艺术评价上报告,2.734097957611084,1.2187552452087402,0.4629398581678493,0.45402732491493225
common_voice_zh-TW_18374826,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374826.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18374826_inference.wav,都已完成沟通协调,都已完成溝通協調,都已完成擴充卸掉,都已完成沟通协调,都已完成扩充卸掉,2.366050958633423,1.1565064191818237,0.6294853103829642,0.3302157521247864
common_voice_zh-TW_18374964,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374964.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18374964_inference.wav,增加了画面许多动感,增加了画面几度动感,增加了花线体格放短,增加了画面几度动感,增加了花线体格放短,1.8481365442276,1.1522047519683838,0.3525057017159647,0.4387744069099426
common_voice_zh-TW_18374700,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374700.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18374700_inference.wav,可以看出明显转变的痕迹,可以看出明显转变的痕迹,可以看出明顯反應的關係,可以看出明显转变的痕迹,可以看出明显反应的关系,2.3949742317199707,1.1236599683761597,0.5128508316207755,0.32704490423202515
common_voice_zh-TW_18374682,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374682.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18374682_inference.wav,还没有一个完整的雏型,還沒有一個完整的旅行,我以一個完全的處理權,还没有一个完整的旅行,我以一个完全的处理权,2.5335397720336914,1.0773714780807495,0.4115021326205978,0.41255566477775574
common_voice_zh-TW_18374770,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18374770.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18374770_inference.wav,杨三郎出生于台北县永和,楊三郎出生於台北縣永和,楊三郎出生於白北建元河,杨三郎出生于台北县永和,杨三郎出生于白北建元河,2.065439224243164,1.1554360389709473,0.4513826220977843,0.3277890980243683
common_voice_zh-TW_18123935,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18123935.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18123935_inference.wav,用坚强的目光望向他,用堅強的目光望向他,我希望你能跟着我去找人,用坚强的目光望向他,我希望你能跟着我去找人,2.2261409759521484,1.2108509540557861,0.44435606386182347,0.49424925446510315
common_voice_zh-TW_18123855,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18123855.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18123855_inference.wav,表弟也搬到芦洲与他们同住,表弟也搬到儒州與他們同住,表弟也搬到芦州与他们同住,表弟也搬到儒州与他们同住,表弟也搬到芦州与他们同住,3.027824878692627,1.1374092102050781,0.690888702263872,0.5976365804672241
common_voice_zh-TW_18123720,/mnt/Internal/jieshiang/Noise_Result/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_18123720.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/commonvoice/noise/common_voice_zh-TW_18123720_inference.wav,目前课表还找不到上课资料,目前課表還找不到上課資料,以前课表还找不到上课资料,目前课表还找不到上课资料,以前课表还找不到上课资料,3.518400192260742,1.349186897277832,0.8030379620662144,0.4850271940231323
