file_name,file_path,duration,transcription,speaker_id,asr_result,cer,MOS_Quality,MOS_Naturalness
BAC009S0764W0121,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0121.wav,4.2039375,甚至出现交易几乎停滞的情况,S0764,甚至出现交易几乎停滞的情况,0.0,2.253682851791382,1.9781019687652588
BAC009S0764W0122,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0122.wav,4.115,一二线城市虽然也处于调整中,S0764,一二线城市虽然也处于调整中,0.0,2.5011045932769775,1.4461700916290283
BAC009S0764W0123,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0123.wav,4.0,但因为聚集了过多公共资源,S0764,但因为聚集了过多公共资源,0.0,2.2459523677825928,1.3823444843292236
BAC009S0764W0124,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0124.wav,5.237,为了规避三四线城市明显过剩的市场风险,S0764,为了规避三四线城市明显过剩的市场风险,0.0,2.202989339828491,1.832194447517395
BAC009S0764W0125,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0125.wav,4.311,标杆房企必然调整市场战略,S0764,标杆房企必然调整市场战略,0.0,2.603177785873413,1.4930040836334229
BAC009S0764W0126,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0126.wav,3.5,因此土地储备至关重要,S0764,因此土地储备至关重要,0.0,2.189570665359497,1.8520708084106445
BAC009S0764W0127,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0127.wav,4.453,中原地产首席分析师张大伟说,S0764,中原地产首席分析师张大伟说,0.0,2.533418655395508,1.998111367225647
BAC009S0764W0128,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0128.wav,3.571,一线城市土地供应量减少,S0764,一线城市土地供应量减少,0.0,2.7996184825897217,1.9042218923568726
BAC009S0764W0129,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0129.wav,3.5949375,也助推了土地市场的火爆,S0764,也助推了土地市场的火爆,0.0,2.3662588596343994,1.8476930856704712
BAC009S0764W0130,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0130.wav,5.248,北京仅新增住宅土地供应十宗,S0764,北京仅新增住宅土地供应时松,0.15384615384615385,2.131774663925171,1.6418441534042358
BAC009S0764W0131,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0131.wav,5.0,开发边界将作为城市发展的刚性约定,S0764,开发边界将作为城市发展的刚性约定,0.0,2.2410619258880615,1.7631169557571411
BAC009S0764W0132,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0132.wav,3.658,不得超越界限盲目扩张,S0764,不得超越界限盲目扩张,0.0,2.134153127670288,1.568853735923767
BAC009S0764W0133,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0133.wav,3.557,目前挂牌的只有几宗土地,S0764,目前挂牌的只有几宗土地,0.0,2.3475091457366943,1.442421793937683
BAC009S0764W0134,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0134.wav,4.187,再加上近期一二线楼市升温,S0764,再加上近期一二线楼市升温,0.0,2.2072174549102783,1.4345736503601074
BAC009S0764W0135,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0135.wav,3.8970625,房企对土地的争抢更加积极,S0764,房企对土地的争抢更加积极,0.0,2.0161259174346924,1.770623803138733
BAC009S0764W0136,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0136.wav,5.041,土地市场体现了房企对一二线市场的看重,S0764,土地市场体现了房企对一二线市场的看重,0.0,2.360865354537964,1.575615406036377
BAC009S0764W0137,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0137.wav,3.611,面包价格会跟风上涨吗,S0764,面包价格会跟风上涨吗,0.0,1.8633116483688354,1.4264894723892212
BAC009S0764W0138,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0138.wav,3.58,成交量环比大幅增加,S0764,成交量环比大幅增加,0.0,2.5603725910186768,1.465399146080017
BAC009S0764W0139,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0139.wav,3.331,国家统计局的数据显示,S0764,国家统计局的数据显示,0.0,1.9999955892562866,1.8107805252075195
BAC009S0764W0140,./aishell/data_aishell/wav/test/S0764/BAC009S0764W0140.wav,6.167,其中广州深圳甚至出现了多个日光盘,S0764,其中广州深圳甚至出现了多个日光盘,0.0,2.491067886352539,1.4671618938446045
