file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity
common_voice_zh-TW_17382475,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17382475_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17382475_inference_merged.wav,我总想著前面也许会有更好的,我总想着前面也许会有更好的,我放下了 甜美 野獅 火藥 和好的,我总想着前面也许会有更好的,我放下了甜美野狮火药和好的,2.297729730606079,1.0744959115982056,0.155422262737387,0.23799656331539154
common_voice_zh-TW_17382798,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17382798_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17382798_inference_merged.wav,听到这消息,听到这消息,好 再見,听到这消息,好再见,1.9051214456558228,1.093999981880188,0.35868658860931013,0.24472582340240479
common_voice_zh-TW_17382870,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17382870_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17382870_inference_merged.wav,证明文件应经审查并妥善保存,證明文件應精神查並妥善保存,"啊,沒問題,謝謝,下期見",证明文件应精神查并妥善保存,"啊,没问题,谢谢,下期见",2.2262654304504395,1.068930745124817,0.08574079705237603,0.2598131597042084
common_voice_zh-TW_17382928,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17382928_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17382928_inference_merged.wav,她开始想搬回乡下住,他開始想搬回鄉下住,他可细胜本回天之主,他开始想搬回乡下住,他可细胜本回天之主,2.331188440322876,1.1042754650115967,0.280023306472973,0.23494373261928558
common_voice_zh-TW_17383201,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17383201_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17383201_inference_merged.wav,经过接近一年的治疗,经过接近一年的治疗,我學著 藝人,经过接近一年的治疗,我学著艺人,2.1374142169952393,1.048462152481079,0.17023796673239178,0.3635394871234894
common_voice_zh-TW_17388304,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17388304_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17388304_inference_merged.wav,你本来就是他的猎物,你本來就是他的獵物,本來就有他的,你本来就是他的猎物,本来就有他的,2.1329193115234375,1.0581575632095337,0.3143428095624098,0.057199202477931976
common_voice_zh-TW_17388528,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17388528_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17388528_inference_merged.wav,来回一千两百日币,來回一千兩百日幣,IQIYI 1700的病,来回一千两百日币,iqiyi1700的病,2.5475916862487793,1.0525182485580444,0.36869056298772174,0.14529992640018463
common_voice_zh-TW_17388792,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17388792_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17388792_inference_merged.wav,一路上他不再出声,一路上他不再出生,你喝水我带你去喝水,一路上他不再出生,你喝水我带你去喝水,1.8455537557601929,1.1015958786010742,0.13350001670026376,0.11941105127334595
common_voice_zh-TW_17389889,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17389889_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17389889_inference_merged.wav,咖啡好喝，点心也很好吃,"咖啡好喝,點心也很好吃",看好那天也不得行,"咖啡好喝,点心也很好吃",看好那天也不得行,1.7523027658462524,1.0877654552459717,0.2307527991852898,0.14251166582107544
common_voice_zh-TW_17389904,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17389904_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/commonvoice/0.5s/merged/common_voice_zh-TW_17389904_inference_merged.wav,四个小孩外出买东西,四个小孩外出买东西,S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-S-,四个小孩外出买东西,s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-s-,2.2111563682556152,1.0489673614501953,0.14494518989293267,0.12903960049152374
