file_name,original_path,inference_path,ground_truth,original_transcript,inference_transcript,original_cer,inference_cer,dcer,utmos,pesq,stoi
common_voice_zh-TW_30162459,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_30162459.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_30162459.wav,高雄市公車五甲幹線,高雄市公車五甲幹線,高手是風車運輾分線,0.0,0.6666666666666666,0.6666666666666666,3.241133689880371,1.200515866279602,0.6382309681842826
common_voice_zh-TW_24477793,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477793.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_24477793.wav,肉！很多肉！,"肉,很多肉。","六,很多肉。",0.0,0.25,0.25,2.8731560707092285,1.237339735031128,0.5837176432208318
common_voice_zh-TW_24478020,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24478020.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_24478020.wav,大家愛轉傳,大家愛轉傳,大家爱赞成,0.0,0.6,0.6,3.0017690658569336,1.3751353025436401,0.6802090640551225
common_voice_zh-TW_25342071,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_25342071.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_25342071.wav,結果很平和,结果很平和,結果很天行,0.2,0.4,0.2,3.303253650665283,1.4513916969299316,0.37158237266721905
common_voice_zh-TW_20748925,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20748925.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_20748925.wav,英文數字請盡量轉為中文,英文数字请尽量转为中文,英文数字请尽量转为中文,0.45454545454545453,0.45454545454545453,0.0,3.352529287338257,1.5324974060058594,0.6609751925047794
common_voice_zh-TW_21308865,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21308865.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_21308865.wav,我們需要更多的廢文和聊天內容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容。,0.2857142857142857,0.2857142857142857,0.0,4.140575885772705,1.4421437978744507,0.6824933789294576
common_voice_zh-TW_22787705,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22787705.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_22787705.wav,目前先將滿意度的部分,目前先将满意度的部分,木材全家每一度的复分,0.2,0.7,0.49999999999999994,3.2776741981506348,1.640049695968628,0.47797738908023485
common_voice_zh-TW_19601564,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19601564.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_19601564.wav,維基百科現在放的人類身高,为几百颗现在放的人类升高,YT本科生在放的人类什么高?,0.5,0.5833333333333334,0.08333333333333337,3.104759693145752,1.151741862297058,0.6800047200551455
common_voice_zh-TW_22288212,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22288212.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_22288212.wav,讓女人的家人滿意,让女人的家人满意,让女人的家人满步,0.25,0.375,0.125,3.332977056503296,1.4300581216812134,0.6945354382275865
common_voice_zh-TW_22771206,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22771206.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_22771206.wav,要改的事太多了，那就改天吧,"要改的事太多了,那就改天吧。",要改的是太多了那就改Kimbap,0.0,0.25,0.25,4.035036087036133,1.610305905342102,0.7574997199386172
common_voice_zh-TW_31065246,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_31065246.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_31065246.wav,十多年前台北車站改變結構,十多年前台北车站改变结构,十多年前台北车站改变之后,0.3333333333333333,0.3333333333333333,0.0,2.897183418273926,1.5282080173492432,0.6886741821730694
common_voice_zh-TW_20860809,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20860809.mp3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/common_voice_recon/common_voice_zh-TW_20860809.wav,就補繳空屋稅,就补叫空污税,作品叫空污税,0.6666666666666666,0.8333333333333334,0.16666666666666674,2.3755290508270264,1.486494779586792,0.6559906986234467
