file_name,file_path,duration,transcription,speaker_id,asr_result,cer,MOS_Quality,MOS_Naturalness
common_voice_zh-TW_31049337,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_31049337.mp3,3.73165625,這時期應該是個人套餐,00335f44eef95697c18b8674efb2e701745e95221777216ecb5996673ac4e10c875b6e078dbaf462dd9104cbc3b57dca66ce8a65282ebdfcf47403a2075e0ea2,这时期应该是个人套餐,0.0,4.506282329559326,3.034818410873413
common_voice_zh-TW_17424537,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17424537.mp3,3.56975,還有黃金魚蛋,5b53a4637fa15ea432031441009cec4794cfd70a7d0ade0c513108f5197a5255deb7781a6992c98ffd9a65c7c530e704213c68179fcdd11bd43b6ffb32e4d344,还有黄金鱼蛋,0.0,2.124371290206909,1.2980732917785645
common_voice_zh-TW_17408879,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408879.mp3,1.781625,格外沉默,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120,格外沉默,0.0,3.519514322280884,3.680428981781006
common_voice_zh-TW_17408878,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408878.mp3,2.621625,從廚房門口走出來,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120,从厨房门口走出来,0.0,4.314695358276367,3.0011322498321533
common_voice_zh-TW_17408877,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408877.mp3,1.925625,趕快來吃,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120,赶快来吃,0.0,3.8139686584472656,2.4299824237823486
common_voice_zh-TW_17408876,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408876.mp3,3.149625,我想要五點再來光華商場,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120,我想要五点再来光华商场,0.0,4.311953067779541,2.327768325805664
common_voice_zh-TW_17408875,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408875.mp3,2.645625,增加其申請的意願,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120,增加其申请的意愿,0.0,4.014784336090088,3.2570347785949707
common_voice_zh-TW_17408873,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408873.mp3,2.453625,車門打開了,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120,车门打开了,0.0,3.763371706008911,3.47877049446106
common_voice_zh-TW_17476606,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17476606.mp3,2.837625,運氣很好,55fdc086bdccfd1c3c1a43cb3902077ffb1b59167e539be996dd378368039f1c4e3293e23e88c50fc298e985b95376c6088c8f26669afee1de252fd1d317ce88,运气很好,0.0,1.6333016157150269,2.394925355911255
common_voice_zh-TW_19770891,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19770891.mp3,4.781625,正確面對愛情的不同面向,52bc1c89e24df77efc690fa8346363083fdca3b07de00035c1cb597016d980b9409b56654c9753cf58b40574c18ff057c021b571a46a995d1b0a5ff87f0c6045,正确面对爱情的不同面向,0.0,2.5209290981292725,2.9365296363830566
common_voice_zh-TW_17401505,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17401505.mp3,2.981625,生活中的每一分細節,53e25efd165013f206be3eac8772f04617ac40e904981f65659c16e4ff6db97dfc44fd79c9d93ef4d3ef82fbcab28a884c1d84ac1caf895037521f3126e7253a,生活中的每一分细节,0.0,4.65467643737793,3.421064853668213
common_voice_zh-TW_17401500,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17401500.mp3,4.229625,有很多傳統習俗和過年活動,53e25efd165013f206be3eac8772f04617ac40e904981f65659c16e4ff6db97dfc44fd79c9d93ef4d3ef82fbcab28a884c1d84ac1caf895037521f3126e7253a,有很多传统习俗和过年活动,0.0,4.219236373901367,2.967540740966797
common_voice_zh-TW_17430151,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17430151.mp3,2.669625,問過身邊的人,4a8f7bdeef7ad04ef166604163e9ad4230d805795867a6363f67dce57bb62c43c6e9a1b99a5779a94d72ace57b2617f393eb69b2701d256bedfbd4fcdaf86e6e,问过身边的人,0.0,3.040078401565552,3.4125423431396484
common_voice_zh-TW_17408872,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408872.mp3,2.645625,一切都歸零了,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120,一切都归零了,0.0,3.107849359512329,3.5338056087493896
common_voice_zh-TW_17401499,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17401499.mp3,2.981625,她在娘家吃飯,53e25efd165013f206be3eac8772f04617ac40e904981f65659c16e4ff6db97dfc44fd79c9d93ef4d3ef82fbcab28a884c1d84ac1caf895037521f3126e7253a,她在娘家吃饭,0.0,3.833634853363037,3.1320035457611084
common_voice_zh-TW_19770894,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19770894.mp3,3.389625,生了也養不起,52bc1c89e24df77efc690fa8346363083fdca3b07de00035c1cb597016d980b9409b56654c9753cf58b40574c18ff057c021b571a46a995d1b0a5ff87f0c6045,生了也养不起,0.0,3.1977713108062744,2.7802088260650635
common_voice_zh-TW_19770892,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19770892.mp3,3.461625,土地處理方式,52bc1c89e24df77efc690fa8346363083fdca3b07de00035c1cb597016d980b9409b56654c9753cf58b40574c18ff057c021b571a46a995d1b0a5ff87f0c6045,土地处理方式,0.0,2.44421911239624,3.3044865131378174
common_voice_zh-TW_17376363,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17376363.mp3,2.309625,都去了解一番,70b5c2c1e0493414b1cb1cf544035bff6cb74b6a154bd08fe56f8917995badb1bb1e2dcf9b3fda0271e306ea7441ea637b010559e3979bafc0f6ca999007588c,都去了解一番,0.0,3.615947723388672,1.9345911741256716
common_voice_zh-TW_29028023,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_29028023.mp3,3.2835,但是是高腳椅,730e168660b3c7dc5117861eab28b2ad61e7758607822499cbd9c9ff2fcade3cef44c3b0d803ec2a8156d69f96b65ee64854575a6abeb7a61e749dac1d0d3526,但是是高脚椅,0.0,3.4335408210754395,3.0741541385650635
common_voice_zh-TW_34302973,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_34302973.mp3,5.0115,是四海為家，還是無家可歸？,c6be1091b13fe79b38542b98d727534ad8102216898708b78cd678d6d5e9bb9ba7754e2e1dba7db4eb1e52bc001f1e9e1c97dbf06b26e9f46239e584f9bde0b2,是四海为家还是无家可归,0.0,3.937732458114624,2.8648605346679688
common_voice_zh-TW_21961316,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21961316.mp3,5.213625,個案實驗，建立通則,7cc9d8b0f3fdd8b28793a6d1995cda3a54242b82dcf572533140b081c2fe55b2e4017f0d74682d387ea2c5fda4deeb21a49f734b95faecefe3e5d0f6e12b8d89,个案实验建立通则,0.0,2.9652249813079834,2.431196689605713
common_voice_zh-TW_22317398,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22317398.mp3,2.621625,性別平等教育,ee8bf0e07deb0429c7ebbb13d7aa78af1b7ec3399fb86c3a3e310309157dd72ddfed1f20d5da3b045995a78180a56849641f0cf695e4935de93bc553568fb029,性别平等教育,0.0,2.424896240234375,2.6571075916290283
common_voice_zh-TW_22317397,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22317397.mp3,3.461625,發現關係中不足的部分,ee8bf0e07deb0429c7ebbb13d7aa78af1b7ec3399fb86c3a3e310309157dd72ddfed1f20d5da3b045995a78180a56849641f0cf695e4935de93bc553568fb029,发现关系中不足的部分,0.0,2.3055529594421387,2.3065710067749023
common_voice_zh-TW_36376489,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_36376489.mp3,3.7155,超真實的喪屍遊戲,6210524e675bfa87c8389732a62ea68a166849a6c36609c281bc5bfdd259255d5a9013757d9cbfcc70fb061ab2319363f7ffc0cd31c124ecf455c50d29b278e7,超真实的丧尸游戏,0.0,3.973114490509033,2.9039852619171143
common_voice_zh-TW_17421165,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17421165.mp3,3.71375,目前該區進行的工程,6facb7a6368b95bd86d8144fad4b93f20de1b8983c5b04d8440000a16d6dc32062792343fe6734a68e43e7d30914f7d0c75e06b5e567e25a98bc91007cd115cc,目前该区进行的工程,0.0,3.7814321517944336,3.2156498432159424
common_voice_zh-TW_17421164,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17421164.mp3,3.32975,我要當面質問他,6facb7a6368b95bd86d8144fad4b93f20de1b8983c5b04d8440000a16d6dc32062792343fe6734a68e43e7d30914f7d0c75e06b5e567e25a98bc91007cd115cc,我要当面质问他,0.0,4.211701393127441,2.958125591278076
common_voice_zh-TW_17426499,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17426499.mp3,2.621625,算一算時間,6f5314cf4dfb136d813fb567619bc1c8b5fe2d579da531220365f326d821313370fd26b46eb97e44f1f8ab261a959477856b908f0346d697982225b82551b756,算一算时间,0.0,3.5625946521759038,2.4423654079437256
