file_name,segment_length,num_segments,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_cer,inference_cer,dcer,utmos,pesq,stoi
common_voice_zh-TW_17382475,0.5s,8,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382475_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382475_merged_inference.wav,我总想著前面也许会有更好的,我总想着前面也许会有更好的,我肯定是要去看病人,我总想着前面也许会有更好的,我肯定是要去看病人,0.07692307692307693,0.9230769230769231,0.8461538461538463,1.2496109008789062,1.1129943132400513,-0.007077391966775404
common_voice_zh-TW_17382798,0.5s,7,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382798_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382798_merged_inference.wav,听到这消息,听到这消息,啊,听到这消息,啊,0.0,1.0,1.0,1.3306574821472168,1.0744788646697998,0.2590855641332217
common_voice_zh-TW_17382801,0.5s,7,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382801_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382801_merged_inference.wav,她心里隐隐觉得不妙,他心裡隱隱覺得不妙,啊,他心裡隱隱覺得不妙,啊,0.5555555555555556,1.0,0.4444444444444444,1.280545949935913,1.1211975812911987,-0.017118393197666802
common_voice_zh-TW_17382870,0.5s,10,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382870_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382870_merged_inference.wav,证明文件应经审查并妥善保存,證明文件應精神查並妥善保存,啊,證明文件應精神查並妥善保存,啊,0.38461538461538464,1.0,0.6153846153846154,1.2397876977920532,1.1648180484771729,0.039194018069703795
common_voice_zh-TW_17382928,0.5s,7,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382928_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382928_merged_inference.wav,她开始想搬回乡下住,他開始想搬回鄉下住,走,他開始想搬回鄉下住,走,0.3333333333333333,1.0,0.6666666666666667,1.2537469863891602,1.1543865203857422,0.132088870576729
common_voice_zh-TW_17383004,0.5s,10,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17383004_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17383004_merged_inference.wav,赌场讨债更加凶狠、更加恶劣,獨長桃在更加兇狠更加惡劣,啊 啊 伊 哦 咋 啊 咋 啊 伊 哦 咋,獨長桃在更加兇狠更加惡劣,啊啊伊哦咋啊咋啊伊哦咋,0.5,1.0,0.5,1.2446556091308594,3.595855474472046,0.10342758391244763
common_voice_zh-TW_17383201,0.5s,8,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17383201_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17383201_merged_inference.wav,经过接近一年的治疗,经过接近一年的治疗,"啊,我一不敬,我一要",经过接近一年的治疗,啊我一不敬我一要,0.0,1.0,1.0,1.3138515949249268,1.0439163446426392,0.13104314836068703
common_voice_zh-TW_17388304,0.5s,7,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17388304_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17388304_merged_inference.wav,你本来就是他的猎物,你本來就是他的獵物,和我一起去拍照,你本來就是他的獵物,和我一起去拍照,0.2222222222222222,1.0,0.7777777777777778,1.2954096794128418,1.0500010251998901,0.04148290769114015
common_voice_zh-TW_17388528,0.5s,7,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17388528_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17388528_merged_inference.wav,来回一千两百日币,來回一千兩百日幣,"好,我先去吃飯",來回一千兩百日幣,好我先去吃飯,0.375,1.0,0.625,1.2948598861694336,1.6575837135314941,-0.16489761694992922
common_voice_zh-TW_17388792,0.5s,9,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17388792_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17388792_merged_inference.wav,一路上他不再出声,一路上他不再出生,一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一                      ,一路上他不再出生,一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一,0.125,1.0,0.875,1.270950198173523,1.0938283205032349,0.0484757940039796
