file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
1089-134686-0017,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134686-0017_inference.wav,STEPHEN LEANING BACK AND DRAWING IDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HERON CHECKED FROM TIME TO TIME BY SAYING," Stephen, leaning back and drawing idly on his scribbler, listened to the talk about him which Heron checked from time to time by saying,"," ""'Even, leaning back and drawing highly on that ribbler, ""'I listened to the talk about him, ""'which Ham checked from time to time by saying—'",stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying,even leaning back and drawing highly on that ribbler i listened to the talk about him which ham checked from time to time by saying,0.0,0.25,0.25,2.7119929790496826,1.1414262056350708,0.23816816385034428,0.07147959619760513
1089-134686-0004,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134686-0004_inference.wav,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND," Number 10, Fresh Nelly is waiting on you. Good night, husband."," Number done. Fresh Nelly is waiting on you. Good night, husband.",number 10 fresh nelly is waiting on you good night husband,number done fresh nelly is waiting on you good night husband,0.09090909090909091,0.09090909090909091,0.0,3.3666229248046875,1.0438824892044067,0.07051417658903748,0.13289816677570343
1089-134686-0036,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0036.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134686-0036_inference.wav,A GREAT SAINT SAINT FRANCIS XAVIER," a great saint, Saint Francis Xavier,"," a great saint, St. Francis Xavier",a great saint saint francis xavier,a great saint st francis xavier,0.0,0.16666666666666666,0.16666666666666666,3.306349277496338,1.0550090074539185,-0.00755589991841745,0.02279665879905224
1089-134686-0016,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0016.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134686-0016_inference.wav,THEN YOU CAN ASK HIM QUESTIONS ON THE CATECHISM DEDALUS, Then you can ask him questions on the Catechism Daedalus., Then you can ask him questions on the Catechist of Daedalus.,then you can ask him questions on the catechism daedalus,then you can ask him questions on the catechist of daedalus,0.1,0.3,0.19999999999999998,3.631204605102539,1.0330207347869873,-0.014273315092622526,0.16112756729125977
1089-134686-0007,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134686-0007_inference.wav,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL," A cold, lucid indifference reigned in his soul.", but the cold lucid indifference reigned in his soul.,a cold lucid indifference reigned in his soul,but the cold lucid indifference reigned in his soul,0.0,0.25,0.25,3.7668495178222656,1.0292218923568726,0.21333080645785799,0.14409753680229187
1089-134691-0019,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0019.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134691-0019_inference.wav,A VOICE FROM BEYOND THE WORLD WAS CALLING, A voice from beyond the world was calling., a house from London Road was calling.,a voice from beyond the world was calling,a house from london road was calling,0.0,0.5,0.5,2.6682705879211426,1.0512502193450928,0.06845416998431442,-0.007398049347102642
1089-134691-0008,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0008.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134691-0008_inference.wav,THE UNCOUTH FACES PASSED HIM TWO BY TWO STAINED YELLOW OR RED OR LIVID BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE, the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face, young nicholas faced his past to invite to who'd stained yellow worn livid by the honeydust and as she strove to look at veldwick ease and indifficult to think that in addition to the first more change of the commiseration rose to his own face,the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,young nicholas faced his past to invite to whod stained yellow worn livid by the honeydust and as she strove to look at veldwick ease and indifficult to think that in addition to the first more change of the commiseration rose to his own face,0.0,0.6904761904761905,0.6904761904761905,2.019818067550659,1.2661460638046265,0.09837591687879065,0.03230641037225723
1089-134686-0034,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0034.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134686-0034_inference.wav,THE RECTOR PAUSED AND THEN SHAKING HIS CLASPED HANDS BEFORE HIM WENT ON," The rector paused and then, shaking his clasped hands before him, went on."," The rector paused, and then, shaking his clasped hands before him, went on he.",the rector paused and then shaking his clasped hands before him went on,the rector paused and then shaking his clasped hands before him went on he,0.0,0.07692307692307693,0.07692307692307693,3.8539087772369385,1.042352318763733,0.12621597982608848,0.08512674272060394
1089-134691-0006,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0006.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134691-0006_inference.wav,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED, The pride of that dim image brought back to his mind the dignity of the office he had refused., Then the pride of that dim image brought back to his mind the dignity of the office he had refused.,the pride of that dim image brought back to his mind the dignity of the office he had refused,then the pride of that dim image brought back to his mind the dignity of the office he had refused,0.0,0.05263157894736842,0.05263157894736842,3.916389226913452,1.0330286026000977,0.09126176115994493,0.1485334187746048
1089-134686-0021,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0021.flac,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/noise/1089-134686-0021_inference.wav,IF A LAYMAN IN GIVING BAPTISM POUR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED," If a layman, in giving baptism, pour the water before saying the words, is the child baptized?", The fun life of hearing the rapture is to pull the water before they were to see the child baptized.,if a layman in giving baptism pour the water before saying the words is the child baptized,the fun life of hearing the rapture is to pull the water before they were to see the child baptized,0.0,0.8235294117647058,0.8235294117647058,2.7360377311706543,1.0466461181640625,0.06402567531651752,0.12529903650283813
