file_name,file_path,duration,transcription,speaker_id
S010010505,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010505.wav,3.233,我都不会离开你,S010010
S010010527,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010527.wav,2.8,是啊不然呢,S010010
S010010556,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010556.wav,2.434,最喜欢来这间餐厅吃饭吗,S010010
S010010627,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010627.wav,1.766,用在正途知道吗,S010010
S010010650,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010650.wav,1.6,不要紧张,S010010
S010010653,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010653.wav,1.599,好了你快吃,S010010
S010010666,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010666.wav,4.6,美莲你实在无需对我这么好,S010010
S010010697,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010697.wav,2.833,还是装不懂,S010010
S010010808,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010808.wav,2.233,是一个很特别的女孩子,S010010
S010010867,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010010867.wav,2.667,来小心,S010010
S010011054,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010011054.wav,1.601,你骑快一点待会儿下雨了,S010011
S010011372,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010011372.wav,1.9,很简单,S010011
S010011459,./Minspeech-1.0.1/OutputData/label/S01/audio/001/S010011459.wav,1.534,而且我也答应过你,S010011
S010021196,./Minspeech-1.0.1/OutputData/label/S01/audio/002/S010021196.wav,1.767,我帮你放在箱子里,S010021
S010030030,./Minspeech-1.0.1/OutputData/label/S01/audio/003/S010030030.wav,2.1339375,他一定不会原谅我,S010030
S010030044,./Minspeech-1.0.1/OutputData/label/S01/audio/003/S010030044.wav,1.833,我跟你说,S010030
S010030982,./Minspeech-1.0.1/OutputData/label/S01/audio/003/S010030982.wav,2.734,这么怕人家听见呢,S010030
S010031295,./Minspeech-1.0.1/OutputData/label/S01/audio/003/S010031295.wav,2.333,有你加持过的紫水晶,S010031
S010040031,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010040031.wav,1.501,如果我爸妈真发生什么事,S010040
S010040494,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010040494.wav,1.667,竟然暗算我,S010040
S010040818,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010040818.wav,1.7,慢慢存的私房钱,S010040
S010040901,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010040901.wav,1.501,就这样再见,S010040
S010040951,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010040951.wav,2.067,那家龙一定很高兴,S010040
S010040973,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010040973.wav,1.533,我们又欠他一份人情了,S010040
S010040986,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010040986.wav,1.766,我不想让人家说,S010040
S010041046,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010041046.wav,1.8,我帮你戴上,S010041
S010041283,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010041283.wav,1.633,莫非你吃到自己的东西,S010041
S010041518,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010041518.wav,2.433,你应该跟我商量商量啊,S010041
S010041581,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010041581.wav,3.367,我早就不把你当女儿了,S010041
S010041628,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010041628.wav,3.867,郭正雄的民调已经越来越高了,S010041
S010041636,./Minspeech-1.0.1/OutputData/label/S01/audio/004/S010041636.wav,2.566,俗话说见面三分情,S010041
S010051292,./Minspeech-1.0.1/OutputData/label/S01/audio/005/S010051292.wav,2.501,所以无论结几次婚,S010051
S010051628,./Minspeech-1.0.1/OutputData/label/S01/audio/005/S010051628.wav,2.2,我我这里,S010051
S010051698,./Minspeech-1.0.1/OutputData/label/S01/audio/005/S010051698.wav,1.666,你最担心的孩子,S010051
S010051711,./Minspeech-1.0.1/OutputData/label/S01/audio/005/S010051711.wav,1.733,以为把支票丢过来,S010051
S010060116,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010060116.wav,2.933,床床边有没有铺好,S010060
S010060124,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010060124.wav,2.9,溪水说叫我带小虾给你们看,S010060
S010060154,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010060154.wav,2.401,听得我有点心动,S010060
S010060200,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010060200.wav,1.634,亲家亲家母你们来了,S010060
S010060229,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010060229.wav,2.433,一定要的啊,S010060
S010060241,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010060241.wav,1.8,我去厨房准备一些美食,S010060
S010060492,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010060492.wav,1.766,伯母来 我说收下你,S010060
S010061167,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010061167.wav,3.567,我看应该让她的公主梦,S010061
S010061380,./Minspeech-1.0.1/OutputData/label/S01/audio/006/S010061380.wav,3.301,但是现在问题已经这么严重了,S010061
S010070527,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010070527.wav,2.399,走到你咖啡店附近了,S010070
S010070562,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010070562.wav,1.833,我们早就发现了,S010070
S010070565,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010070565.wav,2.735,但是我不敢面对,S010070
S010070599,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010070599.wav,2.933,我们要学会接受不是吗,S010070
S010070604,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010070604.wav,1.768,人生苦短,S010070
S010070609,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010070609.wav,2.834,就是怕自己以后会后悔是吗,S010070
S010070617,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010070617.wav,1.6,一定有对吗,S010070
S010070711,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010070711.wav,2.667,我辞掉原本的保母,S010070
S010071157,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071157.wav,1.599,把孩子送去张添富家,S010071
S010071163,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071163.wav,1.699,美莲你什么都别回答,S010071
S010071191,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071191.wav,2.1,施美莲真的有病,S010071
S010071192,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071192.wav,1.734,回去可以好好写一篇了,S010071
S010071443,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071443.wav,1.933,我是维克的爸爸,S010071
S010071450,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071450.wav,1.933,就这么决定了,S010071
S010071614,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071614.wav,3.666,然后这件事反悔就对了,S010071
S010071721,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071721.wav,1.933,好我知道,S010071
S010071750,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071750.wav,1.833,你在碎碎念什么呢,S010071
S010071769,./Minspeech-1.0.1/OutputData/label/S01/audio/007/S010071769.wav,1.966,你你想太多也没用,S010071
S010081062,./Minspeech-1.0.1/OutputData/label/S01/audio/008/S010081062.wav,2.9000625,真气人,S010081
S010081072,./Minspeech-1.0.1/OutputData/label/S01/audio/008/S010081072.wav,2.133,帮小虾找个新奶奶,S010081
S010090940,./Minspeech-1.0.1/OutputData/label/S01/audio/009/S010090940.wav,2.701,说什么,S010090
S010100180,./Minspeech-1.0.1/OutputData/label/S01/audio/010/S010100180.wav,1.733,你们再给我一点时间,S010100
S010100321,./Minspeech-1.0.1/OutputData/label/S01/audio/010/S010100321.wav,3.3,帮自己的老公找小三,S010100
S010100457,./Minspeech-1.0.1/OutputData/label/S01/audio/010/S010100457.wav,1.667,为了我,S010100
S010100873,./Minspeech-1.0.1/OutputData/label/S01/audio/010/S010100873.wav,1.533,等下次分红利,S010100
