file_name,original_path,inference_path,ground_truth,original_transcript_raw,original_transcript,inference_transcript_raw,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi
61-70968-0013,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified.",BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified.",BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED,0.0,0.0,0.0,4.016057968139648,1.1662750244140625,0.8205401931258857
61-70968-0040,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin.",WRITE WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin.",WRITE WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN,0.3333333333333333,0.3333333333333333,0.0,4.272151470184326,1.1717379093170166,0.8134871505664136
61-70968-0015,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller.",NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we were free with their request most politely, most noble, said the little stroller.",NAY WE WERE FREE WITH THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER,0.0,0.7692307692307693,0.7692307692307693,3.784436702728272,1.0981768369674685,0.7795119272544387
61-70968-0028,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet.",THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham Apprentice, with clenched fists, threatened Montfichet.",THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET,0.0,0.0,0.0,4.29877519607544,1.291096806526184,0.8502690119339448
61-70968-0054,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,MISTRESS FITZUTH HAD BEEN CARRIED OFF BY THE SHERIFFS DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, Mistress Fittooth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that Robin alone had the care of Montvichet.,MISTRESS FITTOOTH HAD BEEN CARRIED OFF BY THE SHERIFFS DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTVICHET,0.0666666666666666,0.0666666666666666,0.0,3.892813920974731,1.502366065979004,0.8408067024032735
61-70968-0011,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent.",HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZUTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent.",HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZUTH TO THE REAR OF THE TENT,0.0869565217391304,0.0869565217391304,0.0,4.232297420501709,1.3249390125274658,0.8469041732226391
61-70968-0046,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded.",NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded.",NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED,0.0,0.0,0.0,4.289316654205322,1.373039960861206,0.8605899122861552
61-70968-0050,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM,0.0,0.0,0.0,4.312533855438232,1.5052868127822876,0.8388822574824296
61-70968-0014,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt.",WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON THE SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blinked twice on the silver whistle which hung at his belt.",WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLINKED TWICE ON THE SILVER WHISTLE WHICH HUNG AT HIS BELT,0.125,0.2916666666666667,0.1666666666666666,3.750601291656494,1.3054068088531494,0.8132853497212976
61-70968-0019,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd.",IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd.",IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD,0.1538461538461538,0.1538461538461538,0.0,3.952893018722534,1.2610058784484863,0.8393580536059452
