file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity,original_cer,inference_cer,dcer
common_voice_zh-TW_17382475,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382475_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382475_inference_merged.wav,我总想著前面也许会有更好的,我总想着前面也许会有更好的,一共想着前面也许会有更好的,我总想着前面也许会有更好的,一共想着前面也许会有更好的,2.2919809818267822,1.1312326192855835,0.052767946376583,0.5326315760612488,0.07692307692307693,0.23076923076923078,0.15384615384615385
common_voice_zh-TW_17382798,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382798_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382798_inference_merged.wav,听到这消息,听到这消息,先到這消息,听到这消息,先到这消息,1.3232524394989014,1.1326425075531006,0.1500337970798621,0.3014646470546722,0.0,0.2,0.2
common_voice_zh-TW_17382870,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382870_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382870_inference_merged.wav,证明文件应经审查并妥善保存,證明文件應經審查並妥善保存,證明文件已經審查並妥善保證,证明文件应经审查并妥善保存,证明文件已经审查并妥善保证,1.2822821140289309,1.071924328804016,0.1487354004040749,0.5266531109809875,0.0,0.15384615384615385,0.15384615384615385
common_voice_zh-TW_17382928,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382928_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382928_inference_merged.wav,她开始想搬回乡下住,他開始想搬回鄉下住,是什么回事 周主,他开始想搬回乡下住,是什么回事周主,1.257802963256836,1.0345149040222168,0.0639130632682092,0.2464514225721359,0.1111111111111111,0.8888888888888888,0.7777777777777777
common_voice_zh-TW_17383201,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17383201_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17383201_inference_merged.wav,经过接近一年的治疗,经过接近一年的治疗,經過接近一年的治療,经过接近一年的治疗,经过接近一年的治疗,1.328882932662964,1.0955878496170044,0.1628722772687491,0.3968880474567413,0.0,0.0,0.0
common_voice_zh-TW_17388304,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388304_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388304_inference_merged.wav,你本来就是他的猎物,你本來就是他的獵物,你本來就是怕的野物,你本来就是他的猎物,你本来就是怕的野物,1.9991106986999512,1.0873037576675415,0.2259137166370884,0.4851256906986236,0.0,0.2222222222222222,0.2222222222222222
common_voice_zh-TW_17388528,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388528_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388528_inference_merged.wav,来回一千两百日币,來回一千兩百日幣,來回一千百日幣,来回一千两百日币,来回一千百日币,2.7174839973449707,1.1095553636550903,0.2320262165657083,0.2298756688833236,0.0,0.125,0.125
common_voice_zh-TW_17388792,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388792_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388792_inference_merged.wav,一路上他不再出声,一路上他不再出生,一路上他不再出生,一路上他不再出生,一路上他不再出生,2.62445068359375,1.123491644859314,0.1214221219697759,0.217220276594162,0.125,0.125,0.0
common_voice_zh-TW_17389889,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17389889_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17389889_inference_merged.wav,咖啡好喝，点心也很好吃,"咖啡好喝,點心也很好吃",看好和底色表情,"咖啡好喝,点心也很好吃",看好和底色表情,1.2897230386734009,1.1200660467147827,0.1080220915602863,0.3274068236351013,0.09090909090909091,0.9090909090909091,0.8181818181818181
common_voice_zh-TW_17389904,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17389904_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/25Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17389904_inference_merged.wav,四个小孩外出买东西,四个小孩外出买东西,四季散还未出外东西,四个小孩外出买东西,四季散还未出外东西,1.2482964992523191,1.1285690069198608,0.0878023551014389,0.2760658860206604,0.0,0.5555555555555556,0.5555555555555556
