file_name,segment_length,num_segments,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi
1089-134686-0000,0.5s,21,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0000_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0000_merged_inference.wav,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE, he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce," He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flipper fat sauce.",HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLIPPER FAT SAUCE,0.0,0.32142857142857145,0.32142857142857145,1.2257845401763916,1.1679737567901611,0.18254572541696618
1089-134686-0001,0.5s,7,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0001_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0001_merged_inference.wav,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM," ""'Stuff it into you,' his belly counselled him.", stuff it into you. His belly coupled him.,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,STUFF IT INTO YOU HIS BELLY COUPLED HIM,0.0,0.5,0.5,1.267655372619629,1.129880428314209,0.15396090498193835
1089-134686-0002,0.5s,14,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0002_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0002_merged_inference.wav,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS, After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.," After early nightfall, the little lambs would light up even their basilid quarter of brothels.",AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,AFTER EARLY NIGHTFALL THE LITTLE LAMBS WOULD LIGHT UP EVEN THEIR BASILID QUARTER OF BROTHELS,0.0,1.0,1.0,1.229221224784851,1.1565194129943848,0.14353535642137946
1089-134686-0004,0.5s,11,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0004_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0004_merged_inference.wav,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND," Number 10. Fresh Nelly is waiting on you. Good night, husband."," Not return. Fresh and elegant. Waiting on you. Good night, husband.",NUMBER 10 FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,NOT RETURN FRESH AND ELEGANT WAITING ON YOU GOOD NIGHT HUSBAND,0.2727272727272727,1.0,0.7272727272727273,1.2319605350494385,1.1143263578414917,0.12878601552788638
1089-134686-0005,0.5s,20,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0005_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0005_merged_inference.wav,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companion lode pale for weariness,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEYS FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEYS FRAGMENT UPON THE MOON WANDERING COMPANION LODE PALE FOR WEARINESS,0.0,0.18181818181818182,0.18181818181818182,1.227033019065857,1.1243624687194824,0.16970882831385176
1089-134686-0006,0.5s,22,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0006_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0006_merged_inference.wav,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL, the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail, The dull light fell more faintly upon the page whereon the recreation began to unfold itself slowly and to spread abroad its widening tail.,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON THE RECREATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,0.0,0.3333333333333333,0.3333333333333333,1.2337071895599365,1.1441116333007812,0.1261613910175977
1089-134686-0007,0.5s,9,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0007_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0007_merged_inference.wav,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL," A cold, lucid indifference reigned in his soul."," Now the cold, illicit indifference reigned in his soul.",A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,NOW THE COLD ILLICIT INDIFFERENCE REIGNED IN HIS SOUL,0.0,1.0,1.0,1.2430306673049927,1.1015405654907227,0.06588958339513647
1089-134686-0008,0.5s,14,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0008_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0008_merged_inference.wav,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF," The chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,", The chaos in which his honour extinguished itself was a cold and different knowledge of himself.,THE CHAOS IN WHICH HIS ARDOR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,THE CHAOS IN WHICH HIS HONOUR EXTINGUISHED ITSELF WAS A COLD AND DIFFERENT KNOWLEDGE OF HIMSELF,0.06666666666666667,0.4,0.33333333333333337,1.2392194271087646,1.093813419342041,0.17455639056843755
1089-134686-0009,0.5s,22,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0009_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0009_merged_inference.wav,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE," At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace.", at most by an alms-giver to a beggar whose blessing he fled from he might look wearily to win for himself some measure of actual grace,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,AT MOST BY AN ALMSGIVER TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT LOOK WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,0.0,0.18518518518518517,0.18518518518518517,1.2294009923934937,1.2346974611282349,0.19306079678835525
1089-134686-0010,0.5s,9,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0010_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0010_merged_inference.wav,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK," ""'Well now, Ennis, I declare you have a head and so has my stick.'"," Well now, Ennus, I declare you have a head and so has my stick.",WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK,WELL NOW ENNUS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK,0.0,0.07142857142857142,0.07142857142857142,1.2303742170333862,1.1365667581558228,0.21339367279819121
1089-134686-0011,0.5s,25,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/original/1089-134686-0011_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/librispeech_recon/merged/inference/1089-134686-0011_merged_inference.wav,ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES, on saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses," On Sunday mornings when Sodality met in the chapel to recite the little office, his place was a cushion kneeling dusk at the right of the altar, for would he lead his wing of boys through the responses.",ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES,ON SUNDAY MORNINGS WHEN SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHION KNEELING DUSK AT THE RIGHT OF THE ALTAR FOR WOULD HE LEAD HIS WING OF BOYS THROUGH THE RESPONSES,0.0,0.4358974358974359,0.4358974358974359,1.2294727563858032,1.3994125127792358,0.1764177616706496
