file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
1089-134686-0000,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0000_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0000_inference_merged.wav,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE, he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce, he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,0.0,0.0,0.0,4.246028423309326,2.890514850616455,0.9577606614924999,0.857052206993103
1089-134686-0001,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0001_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0001_inference_merged.wav,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM," ""'Stuff it into you,' his belly counselled him."," ""'Stuff it into you,' his belly counselled him.",stuff it into you his belly counselled him,stuff it into you his belly counselled him,0.0,0.0,0.0,4.016564846038818,2.4223830699920654,0.9075831192159068,0.748191773891449
1089-134686-0002,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0002_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0002_inference_merged.wav,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS, After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels., After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels,after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels,0.0,0.0,0.0,4.251401901245117,2.950232982635498,0.9542409877700931,0.8309345841407776
1089-134686-0004,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0004_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0004_inference_merged.wav,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND," Number 10. Fresh Nelly is waiting on you. Good night, husband."," Number 10. Fresh Nelly is waiting on you. Good night, husband.",number 10 fresh nelly is waiting on you good night husband,number 10 fresh nelly is waiting on you good night husband,0.09090909090909091,0.09090909090909091,0.0,3.8562488555908203,2.515097141265869,0.9188984049567757,0.8811169266700745
1089-134686-0005,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0005_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0005_inference_merged.wav,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness,the music came nearer and he recalled the words the words of shelleys fragment upon the moon wandering companionless pale for weariness,the music came nearer and he recalled the words the words of shelleys fragment upon the moon wandering companionless pale for weariness,0.0,0.0,0.0,4.2182512283325195,2.8174469470977783,0.9344591242284351,0.8736879825592041
1089-134686-0006,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0006_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0006_inference_merged.wav,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL, the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail, the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,0.0,0.0,0.0,4.193028450012207,3.1106982231140137,0.9573386816233792,0.8548866510391235
1089-134686-0007,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0007_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0007_inference_merged.wav,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL," A cold, lucid indifference reigned in his soul.", A cold lucid indifference reigned in his soul.,a cold lucid indifference reigned in his soul,a cold lucid indifference reigned in his soul,0.0,0.0,0.0,4.220277309417725,2.7610602378845215,0.951106368654824,0.8497238755226135
1089-134686-0008,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0008_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0008_inference_merged.wav,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF," The chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,"," The chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,",the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,0.06666666666666667,0.06666666666666667,0.0,4.059686660766602,2.7524564266204834,0.9458914755270675,0.8404573202133179
1089-134686-0009,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0009_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0009_inference_merged.wav,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE," At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace.", at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,0.0,0.0,0.0,4.136693954467773,2.8832802772521973,0.9632785188636876,0.8792916536331177
1089-134686-0010,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0010_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/2.0s/merged/1089-134686-0010_inference_merged.wav,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK," ""'Well now, Ennis, I declare you have a head and so has my stick.'"," ""'Well now, Ennis, I declare you have a head and so has my stick.'",well now ennis i declare you have a head and so has my stick,well now ennis i declare you have a head and so has my stick,0.0,0.0,0.0,3.909268379211426,2.7053067684173584,0.953740526541391,0.8198639154434204
