file_name,original_path,inference_path,ground_truth,original_transcript_raw,original_transcript,inference_transcript_raw,inference_transcript,original_cer,inference_cer,dcer,utmos,pesq,stoi
common_voice_zh-TW_30162459,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_30162459.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_30162459.wav,高雄市公车五甲干线,高雄市公車五甲幹線,高雄市公車五甲幹線,高雄市風車與腳踏線,高雄市風車與腳踏線,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.862279891967773,2.299787759780884,0.8949812232021395
common_voice_zh-TW_24477793,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477793.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477793.wav,肉！很多肉！,"肉,很多肉。",肉很多肉,肉很多肉,肉很多肉,0.0,0.0,0.0,2.3086769580841064,2.649395227432251,0.9392095848589592
common_voice_zh-TW_24478020,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24478020.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24478020.wav,大家爱转传,大家愛轉傳,大家愛轉傳,大家爱转传,大家爱转传,0.6,0.0,-0.6,3.3692800998687744,2.592915773391724,0.9365521335739116
common_voice_zh-TW_25342071,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_25342071.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_25342071.wav,结果很平和,结果很平和,结果很平和,結果很平和,結果很平和,0.0,0.2,0.2,3.242515563964844,1.835504531860352,0.5520049133157952
common_voice_zh-TW_20748925,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20748925.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20748925.wav,英文数字请尽量转为中文,英文数字请尽量转为中文,英文数字请尽量转为中文,英文數字請盡量轉為中文,英文數字請盡量轉為中文,0.0,0.4545454545454545,0.4545454545454545,3.171499967575073,2.332386016845703,0.8816128122032134
common_voice_zh-TW_21308865,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21308865.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21308865.wav,我们需要更多的废文和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,0.1428571428571428,0.1428571428571428,0.0,3.8071560859680176,3.020726203918457,0.9341309916789058
common_voice_zh-TW_22787705,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22787705.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22787705.wav,目前先将满意度的部分,目前先将满意度的部分,目前先将满意度的部分,目前先將滿一度的部分,目前先將滿一度的部分,0.0,0.3,0.3,3.2131972312927246,1.9721814393997192,0.7594587511234997
common_voice_zh-TW_19601564,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19601564.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19601564.wav,维基百科现在放的人类身高,为几百颗现在放的人类升高,为几百颗现在放的人类升高,維基百科現在放的人類身高,維基百科現在放的人類身高,0.3333333333333333,0.25,-0.0833333333333333,3.218061685562134,1.9391931295394893,0.904628935269912
common_voice_zh-TW_22288212,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22288212.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22288212.wav,让女人的家人满意,让女人的家人满意,让女人的家人满意,让女人的家人满意,让女人的家人满意,0.0,0.0,0.0,2.7359073162078857,2.939936637878418,0.926391470976442
common_voice_zh-TW_22771206,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22771206.mp3,/homes/jiasin/BigCodec/outputs_common_voice_22/recon/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22771206.wav,要改的事太多了，那就改天吧,"要改的事太多了,那就改天吧。",要改的事太多了那就改天吧,要改的事太多了那就改天吧,要改的事太多了那就改天吧,0.0,0.0,0.0,3.720791578292847,2.72312068939209,0.9424183030876818
