file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
1089-134686-0017,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134686-0017_inference.wav,STEPHEN LEANING BACK AND DRAWING IDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HERON CHECKED FROM TIME TO TIME BY SAYING," Stephen, leaning back and drawing idly on his scribbler, listened to the talk about him which Heron checked from time to time by saying,"," ""'Pheben, leaning back and drawing hively on his scribbler, ""'listened to the talk about him, ""'which Heron checked from time to time by saying,",stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying,pheben leaning back and drawing hively on his scribbler listened to the talk about him which heron checked from time to time by saying,0.0,0.08333333333333333,0.08333333333333333,2.4268507957458496,1.9122929573059082,0.8867362951638812,0.8010479807853699
1089-134686-0004,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134686-0004_inference.wav,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND," Number 10, Fresh Nelly is waiting on you. Good night, husband."," Number 10. Fresh Nelly is waiting on you. Good night, husband.",number 10 fresh nelly is waiting on you good night husband,number 10 fresh nelly is waiting on you good night husband,0.09090909090909091,0.09090909090909091,0.0,3.1837568283081055,2.485766887664795,0.9115026162405435,0.8488074541091919
1089-134686-0036,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0036.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134686-0036_inference.wav,A GREAT SAINT SAINT FRANCIS XAVIER," a great saint, Saint Francis Xavier,"," a great saint, Saint Francis Xavier.",a great saint saint francis xavier,a great saint saint francis xavier,0.0,0.0,0.0,2.5508787631988525,1.885096549987793,0.9163799871294382,0.6648232340812683
1089-134686-0016,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0016.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134686-0016_inference.wav,THEN YOU CAN ASK HIM QUESTIONS ON THE CATECHISM DEDALUS, Then you can ask him questions on the Catechism Daedalus.," Then you can ask him questions on the Catechism, Daedalus.",then you can ask him questions on the catechism daedalus,then you can ask him questions on the catechism daedalus,0.1,0.1,0.0,3.026993989944458,1.6597263813018799,0.8512509614582765,0.7972975373268127
1089-134686-0007,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134686-0007_inference.wav,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL," A cold, lucid indifference reigned in his soul."," A cold, lucid indifference reigned in his soul.",a cold lucid indifference reigned in his soul,a cold lucid indifference reigned in his soul,0.0,0.0,0.0,2.679412603378296,1.531815767288208,0.8941031479483434,0.8003760576248169
1089-134691-0019,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0019.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134691-0019_inference.wav,A VOICE FROM BEYOND THE WORLD WAS CALLING, A voice from beyond the world was calling., A hearse from beyond the world was calling.,a voice from beyond the world was calling,a hearse from beyond the world was calling,0.0,0.125,0.125,2.8133389949798584,1.446732997894287,0.8364389287818979,0.545667290687561
1089-134691-0008,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0008.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134691-0008_inference.wav,THE UNCOUTH FACES PASSED HIM TWO BY TWO STAINED YELLOW OR RED OR LIVID BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE, the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face, the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,0.0,0.0,0.0,2.0335330963134766,1.7213828563690186,0.8483224354805116,0.6810972094535828
1089-134686-0034,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0034.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134686-0034_inference.wav,THE RECTOR PAUSED AND THEN SHAKING HIS CLASPED HANDS BEFORE HIM WENT ON," The rector paused and then, shaking his clasped hands before him, went on."," The rector paused, and then, shaking his clasped hands before him, went on.",the rector paused and then shaking his clasped hands before him went on,the rector paused and then shaking his clasped hands before him went on,0.0,0.0,0.0,3.662405490875244,2.0494112968444824,0.885949868058799,0.8174244165420532
1089-134691-0006,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0006.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134691-0006_inference.wav,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED, The pride of that dim image brought back to his mind the dignity of the office he had refused., The pride of that dim image brought back to his mind the dignity of the office he had refused.,the pride of that dim image brought back to his mind the dignity of the office he had refused,the pride of that dim image brought back to his mind the dignity of the office he had refused,0.0,0.0,0.0,3.650099277496338,2.022825241088867,0.9253992134031793,0.8031154870986938
1089-134686-0021,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0021.flac,/mnt/Internal/jieshiang/Inference_Result/BigCodec/80Hz/librispeech/noise/1089-134686-0021_inference.wav,IF A LAYMAN IN GIVING BAPTISM POUR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED," If a layman, in giving baptism, pour the water before saying the words, is the child baptized?"," The Philemon, in giving baptism through the water before saying the word, is the child baptized.",if a layman in giving baptism pour the water before saying the words is the child baptized,the philemon in giving baptism through the water before saying the word is the child baptized,0.0,0.29411764705882354,0.29411764705882354,1.9529600143432617,2.162382125854492,0.7532037903481611,0.5633469223976135
