file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity,original_cer,inference_cer,dcer
common_voice_zh-TW_26659271,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26659271.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_26659271_inference.wav,两湖盆地是长江流域的心脏要地,兩湖盆地是長江流域的心臟藥地,兩湖盆地是長江流域的心臟藥地,两湖盆地是长江流域的心脏药地,两湖盆地是长江流域的心脏药地,2.87005615234375,1.3511642217636108,0.6906958984944522,0.8491714596748352,0.07142857142857142,0.07142857142857142,0.0
common_voice_zh-TW_26845552,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26845552.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_26845552_inference.wav,选举公报的格式,选举公报的格式,選舉公報的格式,选举公报的格式,选举公报的格式,3.195514678955078,1.2900375127792358,0.6747108685287879,0.7948316335678101,0.0,0.0,0.0
common_voice_zh-TW_35101245,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_35101245.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_35101245_inference.wav,照片会存入云端硬碟,照片会存入云端硬碟,照片会存入云端硬碟,照片会存入云端硬碟,照片会存入云端硬碟,2.522418737411499,1.1694730520248413,0.634630047080764,0.8868656754493713,0.0,0.0,0.0
common_voice_zh-TW_24477678,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477678.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_24477678_inference.wav,冲突升高,冲突升高,冲突声道,冲突升高,冲突声道,3.410435438156128,2.024322509765625,0.8266269584735308,0.8592203259468079,0.0,0.5,0.5
common_voice_zh-TW_27420342,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_27420342.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_27420342_inference.wav,经过造山运动,经过造山运动,經過造山運動,经过造山运动,经过造山运动,1.6392990350723269,1.1282284259796145,0.5241711317222418,0.4874917268753052,0.0,0.0,0.0
common_voice_zh-TW_21339092,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21339092.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_21339092_inference.wav,那如果把看到的转打字出来，就算可以了吗？,那如果把看到的转打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,3.229051113128662,1.2238389253616333,0.6472875229741001,0.8090958595275879,0.1,0.1,0.0
common_voice_zh-TW_28066581,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_28066581.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_28066581_inference.wav,步骤的主要目的为何？,步骤的主要目的为何?,步骤的主要目的为何?,步骤的主要目的为何?,步骤的主要目的为何?,3.164015293121338,1.403965950012207,0.7208166532433671,0.646928071975708,0.1,0.1,0.0
common_voice_zh-TW_19227247,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19227247.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_19227247_inference.wav,请到登记处进行登记,请到登记处进行登记,请到登机处进行登记,请到登记处进行登记,请到登机处进行登记,3.535583972930908,1.4103251695632937,0.6522646775827158,0.7067965269088745,0.0,0.1111111111111111,0.1111111111111111
common_voice_zh-TW_19305960,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19305960.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_19305960_inference.wav,也就是以此类推,也就是以此類推,也就是以此类对,也就是以此类推,也就是以此类对,1.3322842121124268,1.0943000316619873,0.3267091207563933,0.6600216031074524,0.0,0.14285714285714285,0.14285714285714285
common_voice_zh-TW_22720959,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22720959.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/50HZ/commonvoice/common_voice_zh-TW_22720959_inference.wav,我的演说就要结束了,我的演說就要結束了,我的演說就要結束了,我的演说就要结束了,我的演说就要结束了,3.557811975479126,1.201784372329712,0.5356659645969625,0.7178760766983032,0.0,0.0,0.0
