file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity
common_voice_zh-TW_26659271,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26659271.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_26659271_inference.wav,两湖盆地是长江流域的心脏要地,兩湖盆地是長江流域的心臟藥地,沐阳湖本地是长江流域的新长要地,两湖盆地是长江流域的心脏药地,沐阳湖本地是长江流域的新长要地,2.9517438411712646,1.1990422010421753,0.6486876376737623,0.6976831555366516
common_voice_zh-TW_26845552,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26845552.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_26845552_inference.wav,选举公报的格式,选举公报的格式,宣誓公報的格式,选举公报的格式,宣誓公报的格式,3.2717695236206055,1.217239499092102,0.6340620312904354,0.7515168190002441
common_voice_zh-TW_35101245,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_35101245.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_35101245_inference.wav,照片会存入云端硬碟,照片会存入云端硬碟,早比较快出来,照片会存入云端硬碟,早比较快出来,2.10894775390625,1.100149393081665,0.543007072551961,0.7340388894081116
common_voice_zh-TW_24477678,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477678.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_24477678_inference.wav,冲突升高,冲突升高,衝突升高,冲突升高,冲突升高,3.476947784423828,1.2853748798370361,0.8153918095385038,0.7843542695045471
common_voice_zh-TW_27420342,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_27420342.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_27420342_inference.wav,经过造山运动,经过造山运动,我早晨演的,经过造山运动,我早晨演的,1.3598562479019165,1.080318570137024,0.3890187071519397,0.37166228890419006
common_voice_zh-TW_21339092,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21339092.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_21339092_inference.wav,那如果把看到的转打字出来，就算可以了吗？,那如果把看到的转打字出来就算可以了吗?,那如果把看到的短打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,那如果把看到的短打字出来就算可以了吗?,2.7169525623321533,1.162305474281311,0.6095145167664344,0.8195348978042603
common_voice_zh-TW_28066581,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_28066581.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_28066581_inference.wav,步骤的主要目的为何？,步骤的主要目的为何?,不错的主要目的为何?,步骤的主要目的为何?,不错的主要目的为何?,2.5701897144317627,1.2374240159988403,0.6507949601482703,0.5838462710380554
common_voice_zh-TW_19227247,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19227247.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_19227247_inference.wav,请到登记处进行登记,请到登记处进行登记,然后登记出进行登记,请到登记处进行登记,然后登记出进行登记,2.8089592456817627,1.2521324157714844,0.6072635968710477,0.8263540267944336
common_voice_zh-TW_19305960,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19305960.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_19305960_inference.wav,也就是以此类推,也就是以此類推,你就是一部小電影之類的,也就是以此类推,你就是一部小电影之类的,1.5260720252990723,1.0757899284362793,0.24981351640545701,0.8319770693778992
common_voice_zh-TW_22720959,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22720959.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_2k/commonvoice/common_voice_zh-TW_22720959_inference.wav,我的演说就要结束了,我的演說就要結束了,我得演出 最熱情的座位,我的演说就要结束了,我得演出最热情的座位,3.360260486602783,1.144943118095398,0.49177532053947987,0.7663523554801941
