file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity
common_voice_zh-TW_17382475,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382475_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382475_inference_merged.wav,我总想著前面也许会有更好的,,我總想在前面也許會有更好的,,我总想在前面也许会有更好的,2.0507421493530273,1.180753231048584,0.17283408960579907,0.4117351770401001
common_voice_zh-TW_17382798,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382798_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382798_inference_merged.wav,听到这消息,,聽到這消息,,听到这消息,1.2692655324935913,1.3726121187210083,0.4084441314106842,0.2190065085887909
common_voice_zh-TW_17382870,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382870_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382870_inference_merged.wav,证明文件应经审查并妥善保存,,證明文件已經審查並妥善保證,,证明文件已经审查并妥善保证,1.2613370418548584,1.1782749891281128,0.15731684110498828,0.36307311058044434
common_voice_zh-TW_17382928,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382928_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17382928_inference_merged.wav,她开始想搬回乡下住,,他開始想把我給整架住,,他开始想把我给整架住,1.2602014541625977,1.1841648817062378,0.2477178099763138,0.4017789661884308
common_voice_zh-TW_17383201,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17383201_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17383201_inference_merged.wav,经过接近一年的治疗,,經過接近一年的治療,,经过接近一年的治疗,1.2704805135726929,1.1402795314788818,0.18610463229591664,0.28957250714302063
common_voice_zh-TW_17388304,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388304_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388304_inference_merged.wav,你本来就是他的猎物,,你本來就是卡德爾的業務,,你本来就是卡德尔的业务,2.290163516998291,1.1636137962341309,0.38498125348198464,0.5759270787239075
common_voice_zh-TW_17388528,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388528_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388528_inference_merged.wav,来回一千两百日币,,每回一千万百日并,,每回一千万百日并,2.2188520431518555,1.1330773830413818,0.30844244604934157,0.21197159588336945
common_voice_zh-TW_17388792,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388792_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17388792_inference_merged.wav,一路上他不再出声,,一路上他不再出生,,一路上他不再出生,2.7140491008758545,1.165199875831604,0.17114809693349575,0.3015306890010834
common_voice_zh-TW_17389889,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17389889_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17389889_inference_merged.wav,咖啡好喝，点心也很好吃,,看是要喝的冰水,,看是要喝的冰水,1.2428048849105835,1.1312437057495117,0.14551287721179718,0.24729488790035248
common_voice_zh-TW_17389904,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17389904_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17389904_inference_merged.wav,四个小孩外出买东西,,肯定是有很多人想要你,,肯定是有很多人想要你,1.2584211826324463,1.1134731769561768,0.24913207781059613,0.2992493808269501
common_voice_zh-TW_17397697,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17397697_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17397697_inference_merged.wav,我开始无法相信自己,,你又要開始發生什麼事情,,你又要开始发生什么事情,1.4777432680130005,1.362027883529663,0.23145021454289105,0.2385491281747818
common_voice_zh-TW_17397784,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17397784_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17397784_inference_merged.wav,苹果甜又便宜,,"林國天,你又憑誰",,"林国天,你又凭谁",1.3878552913665771,1.216408133506775,0.15156619335511345,0.2769302427768707
common_voice_zh-TW_17397840,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17397840_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17397840_inference_merged.wav,到了山顶超冷,,嗯... 倒是還挺稍微...,,嗯...倒是还挺稍微...,1.5573114156723022,1.3446388244628906,0.3909980090341478,0.16646753251552582
common_voice_zh-TW_17405054,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17405054_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17405054_inference_merged.wav,你曾说过害怕回到当初,,以前做過害怕回到atmos,,以前做过害怕回到atmos,1.935157299041748,1.1598666906356812,0.20122322865855813,0.16358986496925354
common_voice_zh-TW_17405107,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17405107_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17405107_inference_merged.wav,这是我十年来的研究成果,,這是我新買的雲霜彩繪,,这是我新买的云霜彩绘,1.6468806266784668,1.1597093343734741,0.1726701958276093,0.2585418224334717
common_voice_zh-TW_17407776,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17407776_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17407776_inference_merged.wav,持续针对危险建筑进行盘点,,持续针对危险建筑进行盘点,,持续针对危险建筑进行盘点,1.918105959892273,1.1045678853988647,0.04078231844979657,0.17602039873600006
common_voice_zh-TW_17407794,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17407794_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17407794_inference_merged.wav,让我坐在妳身旁，肩并著肩,,"那要是躲在你身旁,因病就近。",,"那要是躲在你身旁,因病就近",2.147294044494629,1.0952593088150024,0.21312496595875144,0.19101126492023468
common_voice_zh-TW_17407811,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17407811_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17407811_inference_merged.wav,新笔电看起来性能也没差很多,,"請留意,看起來比電視機的性能還差很多",,"请留意,看起来比电视机的性能还差很多",2.347973346710205,1.0633389949798584,0.1306750309429287,0.1479068249464035
common_voice_zh-TW_17407892,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17407892_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17407892_inference_merged.wav,像在黑暗中看见一线光芒,,正在喊著看進行光,,正在喊著看进行光,1.781420350074768,1.077207088470459,0.08515266368284975,0.20292150974273682
common_voice_zh-TW_17408020,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17408020_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17408020_inference_merged.wav,从小学开始养成写日记的习惯,,"从小学开始,要沉写日记习惯。",,"从小学开始,要沉写日记习惯",1.3792661428451538,1.1817432641983032,0.18603276105357494,0.36423587799072266
common_voice_zh-TW_17415027,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17415027_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17415027_inference_merged.wav,清理用了十几年的除湿机,,清理幼兒十幾年的初試劑,,清理幼儿十几年的初试剂,2.955604314804077,1.1148717403411865,0.14489348255285944,0.4282970130443573
common_voice_zh-TW_17417429,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17417429_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17417429_inference_merged.wav,无印良品数位影印输出中心,,無因良品 諸位引 應說出中字,,无因良品诸位引应说出中字,1.811390995979309,1.2234631776809692,0.1691784928975685,0.49756571650505066
common_voice_zh-TW_17419500,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17419500_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17419500_inference_merged.wav,妳脸上幸福的表情,,一脸大幸福的表情,,一脸大幸福的表情,2.4971485137939453,1.207880973815918,0.4147756606502146,0.4204077422618866
common_voice_zh-TW_17420675,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17420675_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17420675_inference_merged.wav,于延平北路七段到九段打造林荫大道,,因為眼睛被無視光 博著半 阿哥無影大白,,因为眼睛被无视光博著半阿哥无影大白,1.2973074913024902,1.1455365419387817,0.11586376614862458,0.2727162539958954
common_voice_zh-TW_17420703,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17420703_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17420703_inference_merged.wav,也不想想家里的人还没吃饭,,你不是說上菜了嗎?我沒吃飯,,你不是说上菜了吗?我没吃饭,1.3827919960021973,1.2157407999038696,0.2189388212493428,0.13276495039463043
common_voice_zh-TW_17420734,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17420734_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17420734_inference_merged.wav,大家能充分利用时间,,阿富汗的中心,,阿富汗的中心,1.372449278831482,1.0924098491668701,0.25906436946591477,0.261581689119339
common_voice_zh-TW_17421058,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17421058_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17421058_inference_merged.wav,一家搬往台北芦洲,,以前包王太平中,,以前包王太平中,2.369608163833618,1.4369977712631226,0.3551376168763454,0.6300343871116638
common_voice_zh-TW_17421089,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17421089_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17421089_inference_merged.wav,把作生意用的准备金赔光了,,救生衣用就被替裴光了,,救生衣用就被替裴光了,1.829754114151001,1.1960281133651733,0.1382295872081865,0.6197302937507629
common_voice_zh-TW_17422988,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17422988_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17422988_inference_merged.wav,基隆市的七堵、五堵,,技能是在前途 活動,,技能是在前途活动,3.9104087352752686,1.1865437030792236,0.34188760921577865,0.5649531483650208
common_voice_zh-TW_17426366,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426366_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426366_inference_merged.wav,在能力范围内,,在那裡,,在那里,1.6204142570495605,1.1653189659118652,0.17047331069089203,0.17449000477790833
common_voice_zh-TW_17426374,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426374_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426374_inference_merged.wav,优先进行补强工程,,優先進行補強工程,,优先进行补强工程,2.332764148712158,1.0781716108322144,0.12154706577508885,0.23324128985404968
common_voice_zh-TW_17426383,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426383_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426383_inference_merged.wav,说不出话来,,是多不出話來,,是多不出话来,2.491420269012451,1.1278069019317627,0.21707705805005184,0.15175342559814453
common_voice_zh-TW_17426417,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426417_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426417_inference_merged.wav,就是坚持要合法安全,,这件事要合法安全,,这件事要合法安全,2.1083474159240723,1.0664607286453247,0.22294056576633406,0.2079845368862152
common_voice_zh-TW_17426494,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426494_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426494_inference_merged.wav,再这样下去妳身体会弄坏的,,"照这样下去,你身体会难坏的",,"照这样下去,你身体会难坏的",2.148697853088379,1.159605860710144,0.23197063026985776,0.22763115167617798
common_voice_zh-TW_17426501,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426501_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426501_inference_merged.wav,他不时去摸摸她的头,,"他不死去,No more top-toe",,"他不死去,nomoretop-toe",2.159968852996826,1.0942885875701904,0.1664677675972547,0.14333558082580566
common_voice_zh-TW_17426516,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426516_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/1.0s/merged/common_voice_zh-TW_17426516_inference_merged.wav,还有那种闲适的心情,,还有那种情绪的心情,,还有那种情绪的心情,2.333801031112671,1.1050686836242676,0.2840811587368793,0.17591483891010284
