file_name,segment_length,num_segments,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_cer,inference_cer,dcer,utmos,pesq,stoi
common_voice_zh-TW_17382475,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382475_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382475_merged_inference.wav,我总想著前面也许会有更好的,我总想着前面也许会有更好的,我走向着前面也许会有更好的,我总想着前面也许会有更好的,我走向着前面也许会有更好的,0.0769230769230769,0.2307692307692307,0.1538461538461538,3.038569927215576,1.3500239849090576,0.6515738117844486
common_voice_zh-TW_17382798,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382798_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382798_merged_inference.wav,听到这消息,听到这消息,听到这消息,听到这消息,听到这消息,0.0,0.0,0.0,3.4760735034942627,1.5155622959136963,0.7676639716717566
common_voice_zh-TW_17382801,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382801_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382801_merged_inference.wav,她心里隐隐觉得不妙,他心裡隱隱覺得不妙,他心里肯定绝对不妙,他心里隐隐觉得不妙,他心里肯定绝对不妙,0.1111111111111111,0.5555555555555556,0.4444444444444445,2.253151655197144,1.241699457168579,0.6647380716359691
common_voice_zh-TW_17382870,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382870_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382870_merged_inference.wav,证明文件应经审查并妥善保存,證明文件應精神查並妥善保存,證明文件已進行查兵吐槍保存,證明文件應精神查並妥善保存,证明文件已进行查兵吐枪保存,0.38461538461538464,0.46153846153846156,0.07692307692307693,3.40885329246521,1.3495161533355713,0.2605892513824375
common_voice_zh-TW_17382928,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17382928_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17382928_merged_inference.wav,她开始想搬回乡下住,他開始想搬回鄉下住,他开始审判V3驾驻,他開始想搬回鄉下住,他开始审判驾驻,0.3333333333333333,0.7777777777777778,0.4444444444444445,3.4124929904937744,1.390787124633789,0.6748835036809014
common_voice_zh-TW_17383004,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17383004_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17383004_merged_inference.wav,赌场讨债更加凶狠、更加恶劣,獨長桃在更加兇狠更加惡劣,都傳訊息在更加充分更加肚皮,獨長桃在更加兇狠更加惡劣,都传讯息在更加充分更加肚皮,0.5384615384615384,0.7692307692307693,0.23076923076923084,2.966057300567627,1.22691810131073,0.2719504662523573
common_voice_zh-TW_17383201,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17383201_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17383201_merged_inference.wav,经过接近一年的治疗,经过接近一年的治疗,经过接近一年的治疗,经过接近一年的治疗,经过接近一年的治疗,0.0,0.0,0.0,3.1932482719421387,1.3036680221557615,0.6919095650178295
common_voice_zh-TW_17388304,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17388304_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17388304_merged_inference.wav,你本来就是他的猎物,你本來就是他的獵物,你本來就是他的獵物,你本來就是他的獵物,你本來就是他的獵物,0.2222222222222222,0.2222222222222222,0.0,3.011193990707397,1.4746716022491455,0.6862835718773912
common_voice_zh-TW_17388528,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17388528_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17388528_merged_inference.wav,来回一千两百日币,來回一千兩百日幣,來回一千兩百隻兵,來回一千兩百日幣,來回一千兩百隻兵,0.375,0.5,0.125,2.8386824131011963,1.0812320709228516,0.6632429695197076
common_voice_zh-TW_17388792,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17388792_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17388792_merged_inference.wav,一路上他不再出声,一路上他不再出生,"一路上,他不再出生",一路上他不再出生,一路上他不再出生,0.125,0.125,0.0,3.4862492084503174,1.142764925956726,0.2467818257625268
common_voice_zh-TW_17389889,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17389889_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17389889_merged_inference.wav,咖啡好喝，点心也很好吃,"咖啡好喝,點心也很好吃",咖啡好喝的顺利绕清,咖啡好喝点心也很好吃,咖啡好喝的顺利绕清,0.09090909090909091,0.6363636363636364,0.5454545454545454,2.3477516174316406,1.1018810272216797,0.1609238933639257
common_voice_zh-TW_17389904,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17389904_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17389904_merged_inference.wav,四个小孩外出买东西,四个小孩外出买东西,四个小孩外出买东西,四个小孩外出买东西,四个小孩外出买东西,0.0,0.0,0.0,2.8006598949432373,1.0959066152572632,0.6317609433149396
common_voice_zh-TW_17397697,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17397697_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17397697_merged_inference.wav,我开始无法相信自己,我開始無法相信自己,我开始发射讯息,我開始無法相信自己,我开始发射讯息,0.2222222222222222,0.6666666666666666,0.4444444444444444,3.001060485839844,1.6145670413970947,0.452640493547369
common_voice_zh-TW_17397784,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17397784_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17397784_merged_inference.wav,苹果甜又便宜,苹果甜又便宜,本人說 聽了一會兒,苹果甜又便宜,本人说听了一会儿,0.0,1.3333333333333333,1.3333333333333333,3.0448360443115234,1.2894830703735352,0.5729072200065074
common_voice_zh-TW_17397840,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17397840_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17397840_merged_inference.wav,到了山顶超冷,到了山頂超嫩,到了3點超了,到了山頂超嫩,到了点超了,0.3333333333333333,0.5,0.16666666666666669,3.134488821029663,1.4235919713974,0.7469584398255129
common_voice_zh-TW_17405054,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17405054_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17405054_merged_inference.wav,你曾说过害怕回到当初,李晨说过害怕回到当初,以前收到海塔回到淡路森,李晨说过害怕回到当初,以前收到海塔回到淡路森,0.2,0.9,0.7,3.314616680145264,1.115616798400879,0.5673600232289526
common_voice_zh-TW_17405107,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17405107_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17405107_merged_inference.wav,这是我十年来的研究成果,这是我十年来的研究成果,再次我student来得严重,这是我十年来的研究成果,再次我来得严重,0.0,0.8181818181818182,0.8181818181818182,3.3895103931427,1.224515080451965,0.3128307740622773
common_voice_zh-TW_17407776,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17407776_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17407776_merged_inference.wav,持续针对危险建筑进行盘点,持续针对危险建筑进行盘点。,实施这类危险建筑进行盘点,持续针对危险建筑进行盘点,实施这类危险建筑进行盘点,0.0,0.3333333333333333,0.3333333333333333,3.119889497756958,1.305101990699768,0.2536332336102531
common_voice_zh-TW_17407794,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17407794_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17407794_merged_inference.wav,让我坐在妳身旁，肩并著肩,让我坐在你身旁肩并着肩,"而我坐在你身旁,眼睛只見",让我坐在你身旁肩并着肩,而我坐在你身旁眼睛只見,0.1818181818181818,0.5454545454545454,0.3636363636363636,2.9936039447784424,1.2239381074905396,0.5408977412048289
common_voice_zh-TW_17407811,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17407811_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17407811_merged_inference.wav,新笔电看起来性能也没差很多,新筆電看起來性能也沒差很多,丘比丁看起来性能也没差很多,新笔电看起来性能也没差很多,丘比丁看起来性能也没差很多,0.0,0.23076923076923078,0.23076923076923078,3.073083877563477,1.2475337982177734,0.7258609707633272
common_voice_zh-TW_17407847,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17407847_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17407847_merged_inference.wav,在机场找了一段时间,在機場找了一段時間,在机场找一段时间,在机场找了一段时间,在机场找一段时间,0.0,0.1111111111111111,0.1111111111111111,3.348832845687866,1.3999717235565186,0.7656919594232842
common_voice_zh-TW_17407892,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17407892_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17407892_merged_inference.wav,像在黑暗中看见一线光芒,像在黑暗中看尽一线光芒,像在天上看见星光,像在黑暗中看尽一线光芒,像在天上看见星光,0.0909090909090909,0.5454545454545454,0.4545454545454545,3.230265855789185,1.1481930017471311,0.637762016444869
common_voice_zh-TW_17408020,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17408020_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17408020_merged_inference.wav,从小学开始养成写日记的习惯,从小学开始养成写日记的习惯,"从小学开始,要成写日记的习惯。",从小学开始养成写日记的习惯,从小学开始要成写日记的习惯,0.0,0.0769230769230769,0.0769230769230769,2.698493003845215,1.162018060684204,0.3802312456223911
common_voice_zh-TW_17415027,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17415027_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17415027_merged_inference.wav,清理用了十几年的除湿机,清理用了十幾年的廚師機,清理幼兒世界裡面的出世記,清理用了十几年的厨师机,清理幼兒世界裡面的出世記,0.18181818181818182,0.8181818181818182,0.6363636363636365,3.765279769897461,1.428823471069336,0.6430426543219202
common_voice_zh-TW_17417429,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17417429_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17417429_merged_inference.wav,无印良品数位影印输出中心,无印良品数位影印输出中心,吴映良品 休卫营 温书厝中心,无印良品数位影印输出中心,吴映良品休卫营温书厝中心,0.0,0.6666666666666666,0.6666666666666666,2.448508977890014,1.3954638242721558,0.2878448417862868
common_voice_zh-TW_17419500,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17419500_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17419500_merged_inference.wav,妳脸上幸福的表情,你脸上幸福的表情,以脸上幸福的表情,你脸上幸福的表情,以脸上幸福的表情,0.125,0.125,0.0,3.214837074279785,1.3876662254333496,0.7375345614955008
common_voice_zh-TW_17420675,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17420675_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17420675_merged_inference.wav,于延平北路七段到九段打造林荫大道,由远平北路7段到9段打造临阴大道,"以影片片为主题,欢迎订阅我的频道。",由远平北路段到段打造临阴大道,以影片片为主题欢迎订阅我的频道,0.375,0.9375,0.5625,1.7673419713974,1.164422869682312,0.190755564672165
common_voice_zh-TW_17420703,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17420703_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17420703_merged_inference.wav,也不想想家里的人还没吃饭,也不常想家里的人还没吃饭,"以為是個小小的小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小也有,有,有,有,有,有,有,有,有,有,有,有,有,有,",也不常想家里的人还没吃饭,以為是個小小的小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小小也有有有有有有有有有有有有有有,0.0833333333333333,1.0,0.9166666666666666,2.4782090187072754,1.2606509923934937,0.6515923988411408
common_voice_zh-TW_17420734,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17420734_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17420734_merged_inference.wav,大家能充分利用时间,大家能充分利用时间,八战龙生分 六十九,大家能充分利用时间,八战龙生分六十九,0.0,0.8888888888888888,0.8888888888888888,2.611445188522339,1.1282089948654177,0.6535352254182631
common_voice_zh-TW_17421058,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17421058_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17421058_merged_inference.wav,一家搬往台北芦洲,一家搬往台北蘆洲,以前阿包王在台北當中,一家搬往台北蘆洲,以前阿包王在台北當中,0.125,1.0,0.875,2.8721728324890137,1.4128355979919434,0.7070550526367433
common_voice_zh-TW_17421089,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17421089_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17421089_merged_inference.wav,把作生意用的准备金赔光了,把做生意用的准备已经赔光了,做生意用的准备已经赔光了,把做生意用的准备已经赔光了,做生意用的准备已经赔光了,0.25,0.3333333333333333,0.0833333333333333,2.590089797973633,1.2226431369781494,0.6774639080562678
common_voice_zh-TW_17421111,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17421111_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17421111_merged_inference.wav,台北数位产业园区于六月底正式营运,台北數位產業園區於6月底正式營運,台北数位船员与明星没六月底正式移民,台北数位产业园区于月底正式营运,台北数位船员与明星没六月底正式移民,0.0625,0.5,0.4375,2.74176025390625,1.1564308404922483,0.3125137391801142
common_voice_zh-TW_17422988,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17422988_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17422988_merged_inference.wav,基隆市的七堵、五堵,基隆市的七堵五堵,金融市的清普武道,基隆市的七堵五堵,金融市的清普武道,0.0,0.75,0.75,3.620168209075928,1.26295268535614,0.7217211920173922
common_voice_zh-TW_17426366,2.0s,3,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17426366_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17426366_merged_inference.wav,在能力范围内,在能力范围内,再能比分為名,在能力范围内,再能比分為名,0.0,0.8333333333333334,0.8333333333333334,2.1233205795288086,1.3113186359405518,0.2660059504745797
common_voice_zh-TW_17426374,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17426374_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17426374_merged_inference.wav,优先进行补强工程,优先进行补强工程,优先进行补偿工程,优先进行补强工程,优先进行补偿工程,0.0,0.125,0.125,2.664302110671997,1.2805588245391846,0.6146863915141744
common_voice_zh-TW_17426383,2.0s,2,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/original/common_voice_zh-TW_17426383_merged.wav,/mnt/Internal/jieshiang/Inference_Result/LSCodec/50Hz/common_voice_zh_CN_recon/merged/inference/common_voice_zh-TW_17426383_merged_inference.wav,说不出话来,说不出话来,说不出话来,说不出话来,说不出话来,0.0,0.0,0.0,1.985450267791748,1.443056583404541,0.6331729191738454
