file_name,original_path,inference_path,ground_truth,original_transcript_raw,original_transcript,inference_transcript_raw,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi
61-70968-0013,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0013.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0013_inference.wav,BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, capless and terrified.",BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CAPLESS AND TERRIFIED," Before them fled the stroller and his three sons, chapless and terrified.",BEFORE THEM FLED THE STROLLER AND HIS THREE SONS CHAPLESS AND TERRIFIED,0.0,0.0833333333333333,0.0833333333333333,3.0883467197418213,1.4012672901153564,0.8514810814500282
61-70968-0040,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0040.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0040_inference.wav,RIGHT WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Write willingly, for between us we have won the battle,' answered Robin.",WRITE WILLINGLY FOR BETWEEN US WE HAVE WON THE BATTLE ANSWERED ROBIN," ""'Why, well, if we're between us we have one medallion,' answered Robin.",WHY WELL IF WERE BETWEEN US WE HAVE ONE MEDALLION ANSWERED ROBIN,0.3333333333333333,1.0,0.6666666666666667,2.2558326721191406,1.2884069681167605,0.7882410586281984
61-70968-0015,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0015.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0015_inference.wav,NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER," Nay, we refused their request most politely, most noble, said the little stroller.",NAY WE REFUSED THEIR REQUEST MOST POLITELY MOST NOBLE SAID THE LITTLE STROLLER, nay we received the request most politely most noble said the loyal stroller,NAY WE RECEIVED THE REQUEST MOST POLITELY MOST NOBLE SAID THE LOYAL STROLLER,0.0,0.7692307692307693,0.7692307692307693,2.527333974838257,1.2476567029953003,0.8272574362279194
61-70968-0028,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0028.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0028_inference.wav,THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the riot, the Nottingham apprentice, with clenched fists, threatened Montfichet.",THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET," The head and chief of the way at the Ardihem apprentice, with quench vests, pretend mortifier,",THE HEAD AND CHIEF OF THE WAY AT THE ARDIHEM APPRENTICE WITH QUENCH VESTS PRETEND MORTIFIER,0.0,1.0,1.0,2.677551507949829,1.423115611076355,0.8434056145225222
61-70968-0054,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0054.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0054_inference.wav,MISTRESS FITZOOTH HAD BEEN CARRIED OFF BY THE SHERIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress fitzuth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet,MISTRESS FITZUTH HAD BEEN CARRIED OFF BY THE SHERIFFS DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN ALONE HAD THE CARE OF MONTFICHET, mistress spittooth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin othoen had the care of montvichet,MISTRESS SPITTOOTH HAD BEEN CARRIED OFF BY THE SHERIFFS DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HOUSE SO THAT ROBIN OTHOEN HAD THE CARE OF MONTVICHET,0.0666666666666666,0.3,0.2333333333333333,2.452377319335937,1.3692399263381958,0.8353759483819141
61-70968-0011,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0011.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0011_inference.wav,HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZOOTH TO THE REAR OF THE TENT," He gave way to the others very readily, and retreated unperceived by the squire and mistress Fitzuth to the rear of the tent.",HE GAVE WAY TO THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZUTH TO THE REAR OF THE TENT," He fave-weighted the others very readily, and retreated unperceived by the squire and Mistress Fitzhuth to the rear of the tent.",HE FAVEWEIGHTED THE OTHERS VERY READILY AND RETREATED UNPERCEIVED BY THE SQUIRE AND MISTRESS FITZHUTH TO THE REAR OF THE TENT,0.0869565217391304,0.4347826086956521,0.3478260869565217,2.470226287841797,1.3093993663787842,0.8349738761052489
61-70968-0046,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0046.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0046_inference.wav,NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Nottingham Castle was reached, and admittance was demanded.",NOTTINGHAM CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED," Not a young castle was reached, and a nymph was demanded.",NOT A YOUNG CASTLE WAS REACHED AND A NYMPH WAS DEMANDED,0.0,1.0,1.0,3.1974682807922363,1.360988736152649,0.8591989753342895
61-70968-0050,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0050.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0050_inference.wav,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," He made an effort to hide his condition from them all, and Robin felt his fingers tighten upon his arm.",HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS TIGHTEN UPON HIS ARM," You made an effort to hide this condition from them all, and Robin trotters the staggers tight upon his arm.",YOU MADE AN EFFORT TO HIDE THIS CONDITION FROM THEM ALL AND ROBIN TROTTERS THE STAGGERS TIGHT UPON HIS ARM,0.0,1.0,1.0,2.8458266258239746,1.381204605102539,0.8151285306828053
61-70968-0014,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0014_inference.wav,WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON A SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hung at his belt.",WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON THE SILVER WHISTLE WHICH HUNG AT HIS BELT," ""'What is the tumult and rioting?' cried out the squire authoritatively, and he blew twice on the silver whistle which hummed his belt.",WHAT IS THE TUMULT AND RIOTING CRIED OUT THE SQUIRE AUTHORITATIVELY AND HE BLEW TWICE ON THE SILVER WHISTLE WHICH HUMMED HIS BELT,0.125,0.3333333333333333,0.2083333333333333,2.299610137939453,1.416971206665039,0.8222475204726033
61-70968-0019,/homes/jiasin/librispeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,/homes/jiasin/SecoustiCodec/semantic_outputs_librispeech/61-70968-0019_inference.wav,IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD," It is enough, said George Gamewell sharply, as he turned upon the crowd.",IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AS HE TURNED UPON THE CROWD," It is enough, said George Gangwell sharply, as he turned upon the ground.",IT IS ENOUGH SAID GEORGE GANGWELL SHARPLY AS HE TURNED UPON THE GROUND,0.1538461538461538,0.5384615384615384,0.3846153846153846,2.72151780128479,1.2824950218200684,0.8535575921995963
