file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
1089-134686-0017,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134686-0017_inference.wav,STEPHEN LEANING BACK AND DRAWING IDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HERON CHECKED FROM TIME TO TIME BY SAYING," Stephen, leaning back and drawing idly on his scribbler, listened to the talk about him which Heron checked from time to time by saying,"," Theven, leaning back and drawing idly on the scribbler, listened to the talk about him, which Harren checked from time to time by saying,",stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying,theven leaning back and drawing idly on the scribbler listened to the talk about him which harren checked from time to time by saying,0.0,0.125,0.125,3.291081666946411,1.2116693258285522,0.7969220082087628,0.5914776921272278
1089-134686-0004,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134686-0004_inference.wav,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND," Number 10, Fresh Nelly is waiting on you. Good night, husband."," 10. Fresh Nelly is waiting on you. Good night, husband.",number 10 fresh nelly is waiting on you good night husband,10 fresh nelly is waiting on you good night husband,0.09090909090909091,0.18181818181818182,0.09090909090909091,4.004695892333984,1.1520527601242065,0.7939830887864844,0.5986565351486206
1089-134686-0036,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0036.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134686-0036_inference.wav,A GREAT SAINT SAINT FRANCIS XAVIER," a great saint, Saint Francis Xavier,"," a great saint, Saint Francis Xavier.",a great saint saint francis xavier,a great saint saint francis xavier,0.0,0.0,0.0,3.82574725151062,1.2422657012939453,0.8400829255935983,0.621640682220459
1089-134686-0016,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0016.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134686-0016_inference.wav,THEN YOU CAN ASK HIM QUESTIONS ON THE CATECHISM DEDALUS, Then you can ask him questions on the Catechism Daedalus.," Then you can ask him questions on the catechism, Daedalus.",then you can ask him questions on the catechism daedalus,then you can ask him questions on the catechism daedalus,0.1,0.1,0.0,3.587787628173828,1.2724429368972778,0.7802259090057153,0.5149770975112915
1089-134686-0007,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134686-0007_inference.wav,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL," A cold, lucid indifference reigned in his soul."," A cold, lucid indifference reigned in his soul.",a cold lucid indifference reigned in his soul,a cold lucid indifference reigned in his soul,0.0,0.0,0.0,4.3272905349731445,1.1407530307769775,0.768607346205546,0.5977139472961426
1089-134691-0019,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0019.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134691-0019_inference.wav,A VOICE FROM BEYOND THE WORLD WAS CALLING, A voice from beyond the world was calling., A voice from beyond the world was calling.,a voice from beyond the world was calling,a voice from beyond the world was calling,0.0,0.0,0.0,3.729003429412842,1.2103062868118286,0.7509264018043842,0.48261508345603943
1089-134691-0008,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0008.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134691-0008_inference.wav,THE UNCOUTH FACES PASSED HIM TWO BY TWO STAINED YELLOW OR RED OR LIVID BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE, the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face, the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,0.0,0.0,0.0,3.5681958198547363,1.1923640966415405,0.7158089380822148,0.6014285087585449
1089-134686-0034,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0034.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134686-0034_inference.wav,THE RECTOR PAUSED AND THEN SHAKING HIS CLASPED HANDS BEFORE HIM WENT ON," The rector paused and then, shaking his clasped hands before him, went on."," The rector paused and then, shaking his clasp to hands before him, went on.",the rector paused and then shaking his clasped hands before him went on,the rector paused and then shaking his clasp to hands before him went on,0.0,0.15384615384615385,0.15384615384615385,3.70690655708313,1.3121393918991089,0.8187936536453746,0.6889989972114563
1089-134691-0006,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134691/1089-134691-0006.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134691-0006_inference.wav,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED, The pride of that dim image brought back to his mind the dignity of the office he had refused., The pride of that dim image brought back to his mind the dignity of the office he had refused.,the pride of that dim image brought back to his mind the dignity of the office he had refused,the pride of that dim image brought back to his mind the dignity of the office he had refused,0.0,0.0,0.0,4.0475239753723145,1.2462787628173828,0.838704613757343,0.6957902312278748
1089-134686-0021,/mnt/Internal/jieshiang/Noise_Result/librispeech/LibriSpeech/test-clean/1089/134686/1089-134686-0021.flac,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/25HZ/librispeech/noise/1089-134686-0021_inference.wav,IF A LAYMAN IN GIVING BAPTISM POUR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED," If a layman, in giving baptism, pour the water before saying the words, is the child baptized?"," If a layman, in giving baptism for the water before saying the word, is the child baptized,",if a layman in giving baptism pour the water before saying the words is the child baptized,if a layman in giving baptism for the water before saying the word is the child baptized,0.0,0.11764705882352941,0.11764705882352941,3.3230533599853516,1.2368370294570923,0.6918622904997721,0.5512439012527466
