file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,original_wer,inference_wer,dwer,utmos,pesq,stoi,speaker_similarity
1089-134686-0000,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0000_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0000_inference_merged.wav,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE, he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce, he hoped there would be stewed dinner turnips and carrots and used potatoes and fat mutton pieces to be laid littled out in thick peppered flour or fattened sauce,he hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce,he hoped there would be stewed dinner turnips and carrots and used potatoes and fat mutton pieces to be laid littled out in thick peppered flour or fattened sauce,0.0,0.21428571428571427,0.21428571428571427,3.4095146656036377,1.1279830932617188,0.7081282839624665,0.48459139466285706
1089-134686-0001,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0001_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0001_inference_merged.wav,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM," ""'Stuff it into you,' his belly counselled him."," ""'Stuffer to you, his brother,' he counselled him.",stuff it into you his belly counselled him,stuffer to you his brother he counselled him,0.0,0.625,0.625,3.2559688091278076,1.1303768157958984,0.7103927932976895,0.4296121299266815
1089-134686-0002,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0002_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0002_inference_merged.wav,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS, After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.," After Earth a nightfall the old lamps would light up here and there, or the squalid cover of the brothels.",after early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels,after earth a nightfall the old lamps would light up here and there or the squalid cover of the brothels,0.0,0.2777777777777778,0.2777777777777778,3.448554039001465,1.167707920074463,0.6777575317406127,0.417068213224411
1089-134686-0004,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0004_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0004_inference_merged.wav,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND," Number 10. Fresh Nelly is waiting on you. Good night, husband."," Number ten, fresh Nelly is waiting on you. Good night, husband.",number 10 fresh nelly is waiting on you good night husband,number ten fresh nelly is waiting on you good night husband,0.09090909090909091,0.0,-0.09090909090909091,2.8095812797546387,1.1015766859054565,0.6722193916349849,0.3401963412761688
1089-134686-0005,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0005_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0005_inference_merged.wav,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness, the music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless hail for weariness,the music came nearer and he recalled the words the words of shelleys fragment upon the moon wandering companionless pale for weariness,the music came nearer and he recalled the words the words of shelleys fragment upon the moon wandering companionless hail for weariness,0.0,0.045454545454545456,0.045454545454545456,3.1780385971069336,1.111246109008789,0.7030511139082465,0.46456465125083923
1089-134686-0006,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0006_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0006_inference_merged.wav,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL, the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail, the dull light fell more faintly upon the page whereonon the requiescent can to unfold itself slowly and to spread abroad its widening tear,the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail,the dull light fell more faintly upon the page whereonon the requiescent can to unfold itself slowly and to spread abroad its widening tear,0.0,0.20833333333333334,0.20833333333333334,3.349518299102783,1.2224986553192139,0.7219677920815344,0.541027307510376
1089-134686-0007,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0007_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0007_inference_merged.wav,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL," A cold, lucid indifference reigned in his soul.", A cold lucid indifference arraigned in his soul.,a cold lucid indifference reigned in his soul,a cold lucid indifference arraigned in his soul,0.0,0.125,0.125,3.633917808532715,1.2342675924301147,0.7892188273835558,0.44638511538505554
1089-134686-0008,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0008_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0008_inference_merged.wav,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF," The chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,", The chaos in which his ardor extinguished itself was a cold indifferent knowledge of itself,the chaos in which his ardor extinguished itself was a cold indifferent knowledge of himself,the chaos in which his ardor extinguished itself was a cold indifferent knowledge of itself,0.06666666666666667,0.13333333333333333,0.06666666666666667,3.509903907775879,1.205378770828247,0.7309943549851621,0.4485154151916504
1089-134686-0009,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0009_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0009_inference_merged.wav,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE," At most, by an alms given to a beggar whose blessing he fled from, he might hope wearily to win for himself some measure of actual grace.", at most by an almsgiving to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,at most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,at most by an almsgiving to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace,0.0,0.07407407407407407,0.07407407407407407,3.3725156784057617,1.1747015714645386,0.7788646763516457,0.473198264837265
1089-134686-0010,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0010_original_merged.wav,/mnt/Internal/jieshiang/Inference_Result/FocalCodec/12.5HZ/librispeech/1.0s/merged/1089-134686-0010_inference_merged.wav,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK," ""'Well now, Ennis, I declare you have a head and so has my stick.'"," Well, now, Ennis, I declare you have a head and so has my stick.",well now ennis i declare you have a head and so has my stick,well now ennis i declare you have a head and so has my stick,0.0,0.0,0.0,3.608837604522705,1.084333896636963,0.6937821006868097,0.4263744354248047
