file_name,file_path,duration,transcription,speaker_id
common_voice_zh-TW_31049337,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_31049337.mp3,3.73165625,這時期應該是個人套餐,00335f44eef95697c18b8674efb2e701745e95221777216ecb5996673ac4e10c875b6e078dbaf462dd9104cbc3b57dca66ce8a65282ebdfcf47403a2075e0ea2
common_voice_zh-TW_17424537,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17424537.mp3,3.56975,還有黃金魚蛋,5b53a4637fa15ea432031441009cec4794cfd70a7d0ade0c513108f5197a5255deb7781a6992c98ffd9a65c7c530e704213c68179fcdd11bd43b6ffb32e4d344
common_voice_zh-TW_17408879,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408879.mp3,1.781625,格外沉默,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120
common_voice_zh-TW_17408878,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408878.mp3,2.621625,從廚房門口走出來,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120
common_voice_zh-TW_17408877,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408877.mp3,1.925625,趕快來吃,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120
common_voice_zh-TW_17408876,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408876.mp3,3.149625,我想要五點再來光華商場,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120
common_voice_zh-TW_17408875,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408875.mp3,2.645625,增加其申請的意願,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120
common_voice_zh-TW_17408873,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408873.mp3,2.453625,車門打開了,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120
common_voice_zh-TW_17476606,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17476606.mp3,2.837625,運氣很好,55fdc086bdccfd1c3c1a43cb3902077ffb1b59167e539be996dd378368039f1c4e3293e23e88c50fc298e985b95376c6088c8f26669afee1de252fd1d317ce88
common_voice_zh-TW_19770891,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19770891.mp3,4.781625,正確面對愛情的不同面向,52bc1c89e24df77efc690fa8346363083fdca3b07de00035c1cb597016d980b9409b56654c9753cf58b40574c18ff057c021b571a46a995d1b0a5ff87f0c6045
common_voice_zh-TW_17401505,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17401505.mp3,2.981625,生活中的每一分細節,53e25efd165013f206be3eac8772f04617ac40e904981f65659c16e4ff6db97dfc44fd79c9d93ef4d3ef82fbcab28a884c1d84ac1caf895037521f3126e7253a
common_voice_zh-TW_17401500,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17401500.mp3,4.229625,有很多傳統習俗和過年活動,53e25efd165013f206be3eac8772f04617ac40e904981f65659c16e4ff6db97dfc44fd79c9d93ef4d3ef82fbcab28a884c1d84ac1caf895037521f3126e7253a
common_voice_zh-TW_17430151,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17430151.mp3,2.669625,問過身邊的人,4a8f7bdeef7ad04ef166604163e9ad4230d805795867a6363f67dce57bb62c43c6e9a1b99a5779a94d72ace57b2617f393eb69b2701d256bedfbd4fcdaf86e6e
common_voice_zh-TW_17408872,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17408872.mp3,2.645625,一切都歸零了,57d7c64a40f47f3bd08254f8dd2f174aad2c84ad38606d2b00eda98e55dcd29fc094213930d5d1f688fc1fd709effcfa0aa10a1663e5220fa28d93406856a120
common_voice_zh-TW_17401499,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17401499.mp3,2.981625,她在娘家吃飯,53e25efd165013f206be3eac8772f04617ac40e904981f65659c16e4ff6db97dfc44fd79c9d93ef4d3ef82fbcab28a884c1d84ac1caf895037521f3126e7253a
common_voice_zh-TW_19770894,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19770894.mp3,3.389625,生了也養不起,52bc1c89e24df77efc690fa8346363083fdca3b07de00035c1cb597016d980b9409b56654c9753cf58b40574c18ff057c021b571a46a995d1b0a5ff87f0c6045
common_voice_zh-TW_19770892,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19770892.mp3,3.461625,土地處理方式,52bc1c89e24df77efc690fa8346363083fdca3b07de00035c1cb597016d980b9409b56654c9753cf58b40574c18ff057c021b571a46a995d1b0a5ff87f0c6045
common_voice_zh-TW_17376363,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17376363.mp3,2.309625,都去了解一番,70b5c2c1e0493414b1cb1cf544035bff6cb74b6a154bd08fe56f8917995badb1bb1e2dcf9b3fda0271e306ea7441ea637b010559e3979bafc0f6ca999007588c
common_voice_zh-TW_29028023,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_29028023.mp3,3.2835,但是是高腳椅,730e168660b3c7dc5117861eab28b2ad61e7758607822499cbd9c9ff2fcade3cef44c3b0d803ec2a8156d69f96b65ee64854575a6abeb7a61e749dac1d0d3526
common_voice_zh-TW_34302973,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_34302973.mp3,5.0115,是四海為家，還是無家可歸？,c6be1091b13fe79b38542b98d727534ad8102216898708b78cd678d6d5e9bb9ba7754e2e1dba7db4eb1e52bc001f1e9e1c97dbf06b26e9f46239e584f9bde0b2
common_voice_zh-TW_21961316,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21961316.mp3,5.213625,個案實驗，建立通則,7cc9d8b0f3fdd8b28793a6d1995cda3a54242b82dcf572533140b081c2fe55b2e4017f0d74682d387ea2c5fda4deeb21a49f734b95faecefe3e5d0f6e12b8d89
common_voice_zh-TW_22317398,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22317398.mp3,2.621625,性別平等教育,ee8bf0e07deb0429c7ebbb13d7aa78af1b7ec3399fb86c3a3e310309157dd72ddfed1f20d5da3b045995a78180a56849641f0cf695e4935de93bc553568fb029
common_voice_zh-TW_22317397,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22317397.mp3,3.461625,發現關係中不足的部分,ee8bf0e07deb0429c7ebbb13d7aa78af1b7ec3399fb86c3a3e310309157dd72ddfed1f20d5da3b045995a78180a56849641f0cf695e4935de93bc553568fb029
common_voice_zh-TW_36376489,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_36376489.mp3,3.7155,超真實的喪屍遊戲,6210524e675bfa87c8389732a62ea68a166849a6c36609c281bc5bfdd259255d5a9013757d9cbfcc70fb061ab2319363f7ffc0cd31c124ecf455c50d29b278e7
common_voice_zh-TW_17421165,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17421165.mp3,3.71375,目前該區進行的工程,6facb7a6368b95bd86d8144fad4b93f20de1b8983c5b04d8440000a16d6dc32062792343fe6734a68e43e7d30914f7d0c75e06b5e567e25a98bc91007cd115cc
common_voice_zh-TW_17421164,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17421164.mp3,3.32975,我要當面質問他,6facb7a6368b95bd86d8144fad4b93f20de1b8983c5b04d8440000a16d6dc32062792343fe6734a68e43e7d30914f7d0c75e06b5e567e25a98bc91007cd115cc
common_voice_zh-TW_17426499,./common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_17426499.mp3,2.621625,算一算時間,6f5314cf4dfb136d813fb567619bc1c8b5fe2d579da531220365f326d821313370fd26b46eb97e44f1f8ab261a959477856b908f0346d697982225b82551b756
