file_name,original_path,inference_path,ground_truth,original_transcript_raw,original_transcript,inference_transcript_raw,inference_transcript,original_cer,inference_cer,dcer,utmos,pesq,stoi
common_voice_zh-TW_30162459,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_30162459.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_30162459_inference.wav,高雄市公车五甲干线,高雄市公車五甲幹線,高雄市公车五甲干线,高雄市公車雲甲半線,高雄市公车云甲半线,0.0,0.2222222222222222,0.2222222222222222,3.02622652053833,1.22621750831604,0.7514280801196892
common_voice_zh-TW_24477793,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477793.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_24477793_inference.wav,肉！很多肉！,"肉,很多肉。",肉很多肉,"肉,很多肉",肉很多肉,0.0,0.0,0.0,2.781301498413086,1.3882761001586914,0.8168551775742918
common_voice_zh-TW_24478020,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24478020.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_24478020_inference.wav,大家爱转传,大家愛轉傳,大家爱转传,道家爱壮壮,道家爱壮壮,0.0,0.6,0.6,4.032825946807861,1.2875208854675293,0.8145780121578976
common_voice_zh-TW_25342071,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_25342071.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_25342071_inference.wav,结果很平和,结果很平和,结果很平和,结果很平和,结果很平和,0.0,0.0,0.0,3.4981138706207275,1.3749297857284546,0.4546317608506742
common_voice_zh-TW_20748925,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20748925.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_20748925_inference.wav,英文数字请尽量转为中文,英文数字请尽量转为中文,英文数字请尽量转为中文,英文數字請盡量轉為中文,英文数字请尽量转为中文,0.0,0.0,0.0,3.05741286277771,1.3174223899841309,0.7678275127732108
common_voice_zh-TW_21308865,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21308865.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_21308865_inference.wav,我们需要更多的废文和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和了解内容,我们需要更多的绯闻和了解内容,0.1428571428571428,0.2857142857142857,0.1428571428571428,3.497281312942505,1.2829296588897705,0.7735894065689192
common_voice_zh-TW_22787705,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22787705.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_22787705_inference.wav,目前先将满意度的部分,目前先将满意度的部分,目前先将满意度的部分,目前先講完一度的部分,目前先講完一度的部分,0.0,0.3,0.3,3.3121273517608643,1.4698257446289062,0.6055967925745618
common_voice_zh-TW_19601564,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19601564.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_19601564_inference.wav,维基百科现在放的人类身高,为几百颗现在放的人类升高,为几百颗现在放的人类升高,維基百科現在放的人類神稿,维基百科现在放的人类神稿,0.3333333333333333,0.16666666666666666,-0.16666666666666666,3.8235888481140137,1.151332139968872,0.7877069390620175
common_voice_zh-TW_22288212,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22288212.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_22288212_inference.wav,让女人的家人满意,让女人的家人满意,让女人的家人满意,让女人的家人满意,让女人的家人满意,0.0,0.0,0.0,3.17342472076416,1.2623590230941772,0.7968979642705376
common_voice_zh-TW_22771206,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22771206.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_22771206_inference.wav,要改的事太多了，那就改天吧,"要改的事太多了,那就改天吧。",要改的事太多了那就改天吧,要改的事太多了那就改天吧,要改的事太多了那就改天吧,0.0,0.0,0.0,3.579303503036499,1.44322407245636,0.8763061188068951
common_voice_zh-TW_31065246,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_31065246.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_31065246_inference.wav,十多年前台北车站改变结构,十多年前台北车站改变结构,十多年前台北车站改变结构,十多年前台北车站改变结构,十多年前台北车站改变结构,0.0,0.0,0.0,3.630996227264404,1.3036682605743408,0.7890216094255107
common_voice_zh-TW_20860809,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20860809.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_20860809_inference.wav,就补缴空屋税,就补叫空污税,就补叫空污税,这不叫空屋睡,这不叫空屋睡,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.1404247283935547,1.4714586734771729,0.7290936747684443
common_voice_zh-TW_26657819,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26657819.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_26657819_inference.wav,超英赶美,超音感美,超音感美,超英敢美,超英敢美,0.5,0.25,-0.25,2.9640111923217773,1.3773027658462524,0.7579804667602308
common_voice_zh-TW_24677150,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24677150.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_24677150_inference.wav,有三十五种语言,有35种语言,有种语言,有35组语言,有组语言,0.4285714285714285,0.5714285714285714,0.1428571428571428,3.39189076423645,1.1306085586547852,0.717986725525548
common_voice_zh-TW_26826729,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26826729.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_26826729_inference.wav,仍被视为尊贵的血统,人被视为尊贵的血统,人被视为尊贵的血统,仍被视为尊贵的噱头,仍被视为尊贵的噱头,0.1111111111111111,0.2222222222222222,0.1111111111111111,3.6318864822387695,1.274311065673828,0.7812538048252415
common_voice_zh-TW_31113743,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_31113743.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_31113743_inference.wav,联络罗东林场与太平山林场,联络罗东林场与太平山林场,联络罗东林场与太平山林场,联络入东林场与太平山林场,联络入东林场与太平山林场,0.0,0.0833333333333333,0.0833333333333333,3.6566123962402335,1.2247459888458252,0.8159717805937914
common_voice_zh-TW_37952977,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_37952977.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_37952977_inference.wav,参与者要进入会场了,参与者要进入会场了,参与者要进入会场了,参与者要进入会场了,参与者要进入会场了,0.0,0.0,0.0,3.88201642036438,1.1583476066589355,0.752794149407916
common_voice_zh-TW_22006784,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22006784.mp3,/homes/jiasin/focalcodec/recons_25Hz/all_outputs_inference_common_voice/common_voice_zh-TW_22006784_inference.wav,乌龙茶加奶就来得有尾韵,乌龙茶加奶就来得有尾韵,乌龙茶加奶就来得有尾韵,乌龙茶江南就来得有尾韵,乌龙茶江南就来得有尾韵,0.0,0.1818181818181818,0.1818181818181818,2.9803237915039062,1.3098090887069702,0.665044806553311
