file_name,original_path,inference_path,ground_truth,original_transcript_raw,original_transcript,inference_transcript_raw,inference_transcript,original_cer,inference_cer,dcer,utmos,pesq,stoi
common_voice_zh-TW_30162459,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_30162459.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_30162459_inference.wav,高雄市公车五甲干线,高雄市公車五甲幹線,高雄市公車五甲幹線,"高雄市關稍,人在佩戌縣",高雄市關稍人在佩戌縣,0.3333333333333333,0.7777777777777778,0.4444444444444445,2.082564353942871,1.621187448501587,0.8318332092268071
common_voice_zh-TW_24477793,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477793.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_24477793_inference.wav,肉！很多肉！,"肉,很多肉。",肉很多肉,"肉,很多肉。",肉很多肉,0.0,0.0,0.0,1.9704127311706543,1.5505601167678833,0.8671050369554949
common_voice_zh-TW_24478020,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24478020.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_24478020_inference.wav,大家爱转传,大家愛轉傳,大家愛轉傳,大正礼,大正礼,0.6,0.8,0.2,1.685930609703064,1.5013364553451538,0.7804516500866213
common_voice_zh-TW_25342071,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_25342071.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_25342071_inference.wav,结果很平和,结果很平和,结果很平和,自己來個拼好了,自己來個拼好了,0.0,1.0,1.0,1.6095631122589111,1.2236770391464231,0.5319905762787018
common_voice_zh-TW_20748925,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_20748925.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_20748925_inference.wav,英文数字请尽量转为中文,英文数字请尽量转为中文,英文数字请尽量转为中文,英文數字請盡量轉回中文,英文數字請盡量轉回中文,0.0,0.4545454545454545,0.4545454545454545,3.1398813724517822,1.8109972476959229,0.833938750817555
common_voice_zh-TW_21308865,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21308865.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_21308865_inference.wav,我们需要更多的废文和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,我们需要更多的绯闻和聊天内容,0.1428571428571428,0.1428571428571428,0.0,2.6847219467163086,1.7077394723892212,0.8348821960197895
common_voice_zh-TW_22787705,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22787705.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_22787705_inference.wav,目前先将满意度的部分,目前先将满意度的部分,目前先将满意度的部分,我現在已經講完一通了,我現在已經講完一通了,0.0,1.0,1.0,2.115316152572632,1.6195755004882812,0.6893832641649391
common_voice_zh-TW_19601564,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19601564.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_19601564_inference.wav,维基百科现在放的人类身高,为几百颗现在放的人类升高,为几百颗现在放的人类升高,為幾百顆星參放的人類升高,為幾百顆星參放的人類升高,0.3333333333333333,0.5833333333333334,0.25,3.293640613555908,1.528792381286621,0.8556676003846719
common_voice_zh-TW_22288212,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22288212.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_22288212_inference.wav,让女人的家人满意,让女人的家人满意,让女人的家人满意,讓女人的家人滿意,讓女人的家人滿意,0.0,0.25,0.25,2.827888250350952,2.3183743953704834,0.8667542027277418
common_voice_zh-TW_22771206,/homes/jiasin/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22771206.mp3,/homes/jiasin/SecoustiCodec/semantic_outputs_Commonvoice_86/common_voice_zh-TW_22771206_inference.wav,要改的事太多了，那就改天吧,"要改的事太多了,那就改天吧。",要改的事太多了那就改天吧,"要改的事太多了,那就改天吧",要改的事太多了那就改天吧,0.0,0.0,0.0,3.2048726081848145,1.704423904418945,0.8824175409429615
