file_name,original_path,inference_path,ground_truth,original_transcript_raw,inference_transcript_raw,original_transcript,inference_transcript,utmos,pesq,stoi,speaker_similarity,original_cer,inference_cer,dcer
common_voice_zh-TW_26659271,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26659271.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_26659271_inference.wav,两湖盆地是长江流域的心脏要地,兩湖盆地是長江流域的心臟藥地,讓湖盆地是長江流域的生長要地,两湖盆地是长江流域的心脏药地,让湖盆地是长江流域的生长要地,2.936777353286743,1.1987086534500122,0.6433675888718154,0.7392517328262329,0.07142857142857142,0.21428571428571427,0.14285714285714285
common_voice_zh-TW_26845552,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_26845552.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_26845552_inference.wav,选举公报的格式,选举公报的格式,全是公報的格式,选举公报的格式,全是公报的格式,3.011911153793335,1.2072972059249878,0.6144781270050936,0.7316566705703735,0.0,0.2857142857142857,0.2857142857142857
common_voice_zh-TW_35101245,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_35101245.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_35101245_inference.wav,照片会存入云端硬碟,照片会存入云端硬碟,放片传说的谬语端进去,照片会存入云端硬碟,放片传说的谬语端进去,2.3618321418762207,1.1164438724517822,0.543494630214836,0.7459824085235596,0.0,0.8888888888888888,0.8888888888888888
common_voice_zh-TW_24477678,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_24477678.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_24477678_inference.wav,冲突升高,冲突升高,冲突深究,冲突升高,冲突深究,3.63680362701416,1.49371337890625,0.7953982457417569,0.7633320093154907,0.0,0.5,0.5
common_voice_zh-TW_27420342,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_27420342.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_27420342_inference.wav,经过造山运动,经过造山运动,金狗知道需要眼瞪,经过造山运动,金狗知道需要眼瞪,1.5898960828781128,1.0677130222320557,0.3946266364335615,0.4008142948150635,0.0,1.3333333333333333,1.3333333333333333
common_voice_zh-TW_21339092,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_21339092.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_21339092_inference.wav,那如果把看到的转打字出来，就算可以了吗？,那如果把看到的转打字出来就算可以了吗?,那如果把看到的轉打字出來就算可以了嗎?,那如果把看到的转打字出来就算可以了吗?,那如果把看到的转打字出来就算可以了吗?,3.731419563293457,1.2029588222503662,0.6209854228826941,0.8491188883781433,0.1,0.1,0.0
common_voice_zh-TW_28066581,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_28066581.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_28066581_inference.wav,步骤的主要目的为何？,步骤的主要目的为何?,我所主要目的為何?,步骤的主要目的为何?,我所主要目的为何?,1.9944952726364136,1.1446293592453003,0.6162834840056978,0.5563231110572815,0.1,0.4,0.30000000000000004
common_voice_zh-TW_19227247,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19227247.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_19227247_inference.wav,请到登记处进行登记,请到登记处进行登记,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,请到登记处进行登记,请不吝点赞订阅转发打赏支持明镜与点点栏目,3.3205695152282715,1.257699489593506,0.6161795584999289,0.8070220947265625,0.0,2.111111111111111,2.111111111111111
common_voice_zh-TW_19305960,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_19305960.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_19305960_inference.wav,也就是以此类推,也就是以此類推,你就是一名在配对的,也就是以此类推,你就是一名在配对的,1.482404351234436,1.0690679550170898,0.2710599419799649,0.8354694843292236,0.0,1.0,1.0
common_voice_zh-TW_22720959,/mnt/Internal/ASR/common_voice/cv-corpus-22.0-2025-06-20/zh-TW/clips/common_voice_zh-TW_22720959.mp3,/mnt/Internal/jieshiang/Inference_Result/FocalCodec-S/50Hz_4k/commonvoice/common_voice_zh-TW_22720959_inference.wav,我的演说就要结束了,我的演說就要結束了,我的眼神說就要吃素了,我的演说就要结束了,我的眼神说就要吃素了,2.944279432296753,1.1739073991775513,0.4770168193101107,0.7770158648490906,0.0,0.4444444444444444,0.4444444444444444
